source,target,weight
AbolfazlKameli,Mohammad222PR,2
AhsanSheraz,24ds1000054-code,1
AhsanSheraz,sangsaist,1
AhsanSheraz,svlandeg,4
AleksaMCode,berkkaradalan,1
AliSot2000,rmawatson,1
Antares0982,tiangolo,1
ArcLightSlavik,tiangolo,1
Areeb455,YuriiMotov,3
Areeb455,casperdcl,1
Aruelius,tiangolo,1
Ayu456sh,casperdcl,1
Azazul123,SakibSibly,2
BastienGimbert,Joab0,2
BastienGimbert,ibrahimpelumi6142,1
BharatShukla30,YuriiMotov,1
BillionClaw,alex-raw,1
Cito,YuriiMotov,1
Cybernetic-Ransomware,Charisn,2
Danstiv,tiangolo,1
Davis-3450,adityagiri3600,1
DianaTrufanova,NavesSapnis,2
DianaTrufanova,valentinDruzhinin,6
DoctorJohn,tiangolo,3
EdmilsonRodrigues,ceb10n,1
EdmilsonRodrigues,tiangolo,4
HamzaYslmn,yogishhg9964,1
Harshpatil0508,saimahesh8752,1
HenriBlacksmith,JustKiddingCode,1
JavierSanchezCastro,fluffy-dev,1
JefferyHus,leerob,3
Kadermiyanyedi,tiangolo,3
Kagney00,Dawaman43,1
KarelRuzicka,YuriiMotov,1
Kludex,FatimahAlhumaidhi,1
Kludex,YuriiMotov,2
Kludex,musicinmybrain,4
Lancetnik,valentinDruzhinin,2
MarinPostma,abhishekbiswas772,1
MaxwellEnemuo,sankarebarri,1
MinLee0210,ptt3199,2
NEFORCEO,tiangolo,1
OscarMCV-SW,tiangolo,1
P-Muench,berkkaradalan,1
Pavanmanikanta98,mohiuddin-khan-shiam,1
Pentusha,YuriiMotov,1
Pyth3rEx,EstebanDalelR,1
Pyth3rEx,Malak993-lho,1
Pyth3rEx,gabyorel,1
Pyth3rEx,tiangolo,10
Rishat-F,EgorOnishchuk,1
SBillion,YuriiMotov,1
SBillion,tiangolo,6
SadManFahIm,subhashdasyam,3
SaisakthiM,hemanth-thirthahalli,2
Shihasz,jomkv,1
SofiiaTrufanova,valentinDruzhinin,2
TahmidMuntaser,SakibSibly,1
TheCaffinatedDeveloper,mlb-,1
TheoPascoli,tiangolo,1
Tishka17,EgorOnishchuk,1
Tonkonozhenko,FatimahAlhumaidhi,3
Viicos,JavierSanchezCastro,1
Viicos,cjwatson,6
Viicos,cstruct,1
Viicos,ilovemesomeramen,2
Viicos,mvanderlee,1
Vincy1230,tiangolo,5
YuriiMotov,003shrey,1
YuriiMotov,04cb,1
YuriiMotov,1cbyc,1
YuriiMotov,24ds1000054-code,1
YuriiMotov,24f2001045-DS,1
YuriiMotov,ASR1015,2
YuriiMotov,AdarshBennur,1
YuriiMotov,Ads2024,1
YuriiMotov,AhsanSheraz,1
YuriiMotov,Ali-Parandeh,3
YuriiMotov,Amogha-ark,1
YuriiMotov,Amrito20,1
YuriiMotov,AnirudhArrepu,1
YuriiMotov,AnshMNSoni,2
YuriiMotov,Anya299,1
YuriiMotov,Ashish-Pandey62,4
YuriiMotov,Ben-Brady,8
YuriiMotov,BharathiSen,1
YuriiMotov,Biaslan-git,1
YuriiMotov,BillionClaw,1
YuriiMotov,BrunoTanabe,1
YuriiMotov,ChaitanyaSai-Meka,10
YuriiMotov,Charisn,1
YuriiMotov,ChunkyTortoise,1
YuriiMotov,CrazyAnry,1
YuriiMotov,CuberQAQ,1
YuriiMotov,DEENUU1,1
YuriiMotov,DJMcoder,2
YuriiMotov,DanielYang59,1
YuriiMotov,Dawaman43,7
YuriiMotov,DilkhushYash,1
YuriiMotov,DivInstance,1
YuriiMotov,EdmilsonRodrigues,1
YuriiMotov,EgorOnishchuk,3
YuriiMotov,Eminek-marz,1
YuriiMotov,EnamSingh,1
YuriiMotov,Esubaalew,1
YuriiMotov,FlaviusRaducu,9
YuriiMotov,Gopesh111,1
YuriiMotov,Holek,1
YuriiMotov,ImJuike,1
YuriiMotov,JP-Ellis,4
YuriiMotov,JavierSanchezCastro,5
YuriiMotov,Joab0,2
YuriiMotov,Just-Helpful,1
YuriiMotov,JustKiddingCode,2
YuriiMotov,KevynValladares21,1
YuriiMotov,Kimdowne,1
YuriiMotov,Kiran-Gowda-H-A,1
YuriiMotov,Krishneth,1
YuriiMotov,KrzysztofCzapla,2
YuriiMotov,Lob26,1
YuriiMotov,LucaPaterlini,3
YuriiMotov,MahdeeMushfiqueKamal,1
YuriiMotov,Maheedhar-rao,1
YuriiMotov,Malak993-lho,4
YuriiMotov,MikeiLL,1
YuriiMotov,Mohammad222PR,1
YuriiMotov,Mohataseem89,1
YuriiMotov,NA-V10,3
YuriiMotov,NAM-MAN,1
YuriiMotov,NavesSapnis,10
YuriiMotov,Neizvestnyj,1
YuriiMotov,Nicered,1
YuriiMotov,PRAJUN-V-ZILMONEY,1
YuriiMotov,Priyanshjain10,1
YuriiMotov,Profianton,1
YuriiMotov,Raghu0703,3
YuriiMotov,Rekl0w,4
YuriiMotov,Ricky512227,2
YuriiMotov,Rohan5commit,6
YuriiMotov,Rohit27305,1
YuriiMotov,SMdipu10,1
YuriiMotov,SSOBHY2,2
YuriiMotov,SadManFahIm,2
YuriiMotov,SaisakthiM,1
YuriiMotov,Srikari12,2
YuriiMotov,Takrim-ScrubAI,1
YuriiMotov,Tanmaykaturi,2
YuriiMotov,Taoup,1
YuriiMotov,VashuTheGreat,1
YuriiMotov,VectorSophie,1
YuriiMotov,Vishnuuuu24,1
YuriiMotov,Vivansh27,1
YuriiMotov,Walancy,1
YuriiMotov,WaveTheory1,1
YuriiMotov,WestinJiang,1
YuriiMotov,WrldEngine,3
YuriiMotov,YASWANTH1976,1
YuriiMotov,YashGupta404,1
YuriiMotov,Yume05-dev,1
YuriiMotov,ZadenYip,1
YuriiMotov,aayushbaluni,2
YuriiMotov,abhinav1098,1
YuriiMotov,abishekgiri,3
YuriiMotov,adamobrien-dev,1
YuriiMotov,agonzalezjr327,1
YuriiMotov,airchitect-ai,1
YuriiMotov,alex-raw,1
YuriiMotov,alv2017,1
YuriiMotov,amin-abbasiy,2
YuriiMotov,amirroox,1
YuriiMotov,amishikaushal,1
YuriiMotov,amitmoralwar,4
YuriiMotov,amulyakh456,2
YuriiMotov,anfreshman,1
YuriiMotov,anupamme,5
YuriiMotov,apotterri,1
YuriiMotov,archfz,2
YuriiMotov,argoarsiks,5
YuriiMotov,artKucher,3
YuriiMotov,arun-geek,1
YuriiMotov,askdevai-bot,1
YuriiMotov,azamzar,5
YuriiMotov,bertomaniac,3
YuriiMotov,bidfox,1
YuriiMotov,bokshitsky,4
YuriiMotov,bysiber,1
YuriiMotov,cardosource,2
YuriiMotov,casperdcl,5
YuriiMotov,champ-sk,1
YuriiMotov,cjwatson,2
YuriiMotov,clement-zentz,2
YuriiMotov,cluster2600,2
YuriiMotov,clytaemnestra,1
YuriiMotov,cmtoro,3
YuriiMotov,coderliu,1
YuriiMotov,crummyh,1
YuriiMotov,cstruct,2
YuriiMotov,cwandev,1
YuriiMotov,dagecko,1
YuriiMotov,david-fong,1
YuriiMotov,deadlovelll,1
YuriiMotov,dependabot,4
YuriiMotov,developreiloyo,1
YuriiMotov,devil-works,1
YuriiMotov,dezh1110,1
YuriiMotov,dheekshae,1
YuriiMotov,dhruvgoyal-ai,1
YuriiMotov,diegoromerodev,4
YuriiMotov,dipenpadhiyar,1
YuriiMotov,doganarif,7
YuriiMotov,dolfinus,4
YuriiMotov,dynamicy,2
YuriiMotov,edgarrmondragon,3
YuriiMotov,eltoder,8
YuriiMotov,emmanuel-ferdman,1
YuriiMotov,essentiaMarco,5
YuriiMotov,ethicalzeus07,1
YuriiMotov,even-even,3
YuriiMotov,ewen-lorimer,1
YuriiMotov,eyetheekh,2
YuriiMotov,fcarvajalbrown,1
YuriiMotov,fitratgulmamadov,1
YuriiMotov,florentdrousset,1
YuriiMotov,gabyorel,1
YuriiMotov,garagon,1
YuriiMotov,gaurav101203,1
YuriiMotov,gayuna,1
YuriiMotov,gengbo123456,1
YuriiMotov,grantjenks,1
YuriiMotov,gudwls215,2
YuriiMotov,hemanth-thirthahalli,3
YuriiMotov,hnshah,1
YuriiMotov,ibrahimpelumi6142,3
YuriiMotov,igoyak,2
YuriiMotov,ilovemesomeramen,4
YuriiMotov,ishansurdi,2
YuriiMotov,istrebitel-1,1
YuriiMotov,itsmohit-raj,3
YuriiMotov,itssimon,1
YuriiMotov,ivikasavnish,1
YuriiMotov,jamisiveshkumar,1
YuriiMotov,jeannin,1
YuriiMotov,jgengo,3
YuriiMotov,johnslavik,1
YuriiMotov,jomkv,3
YuriiMotov,jonathan-fulton,8
YuriiMotov,jsibitoye,2
YuriiMotov,kchang50204,1
YuriiMotov,killerdevildog,1
YuriiMotov,kimchikingdom,3
YuriiMotov,kinuax,4
YuriiMotov,koladebashir,2
YuriiMotov,kumarvishwajeettrivedi,2
YuriiMotov,letmetry-oss,2
YuriiMotov,liby,2
YuriiMotov,lkkmpn,2
YuriiMotov,lonelyH3b,1
YuriiMotov,luzzodev,3
YuriiMotov,mahdighadiriii,1
YuriiMotov,majiayu000,1
YuriiMotov,mattalexanderhill,4
YuriiMotov,maxachis,1
YuriiMotov,mazulo,1
YuriiMotov,mgu,2
YuriiMotov,milan-jethva,1
YuriiMotov,mkanetsuna,7
YuriiMotov,mlb-,5
YuriiMotov,mohiuddin-khan-shiam,2
YuriiMotov,mortezave,1
YuriiMotov,musicinmybrain,1
YuriiMotov,mvanderlee,1
YuriiMotov,nancywang-cwru,1
YuriiMotov,naveencreation,1
YuriiMotov,nicolasdespres,2
YuriiMotov,nilerbarcelos,1
YuriiMotov,nilslindemann,17
YuriiMotov,niral04,1
YuriiMotov,niveshpadamata1218,2
YuriiMotov,ollie-bell,3
YuriiMotov,omnislash157,2
YuriiMotov,oxqnd,5
YuriiMotov,p-r-a-v-i-n,1
YuriiMotov,pallaprolus,1
YuriiMotov,paras-verma7454,1
YuriiMotov,peteroyce,1
YuriiMotov,prasanthkumarch26,1
YuriiMotov,prerna-pramod-gh,1
YuriiMotov,pressogh,1
YuriiMotov,ptt3199,5
YuriiMotov,r266-tech,3
