source,target,weight
AbolfazlKameli,Mohammad222PR,4
AhsanSheraz,24ds1000054-code,2
AhsanSheraz,sangsaist,2
AhsanSheraz,svlandeg,6
AleksaMCode,berkkaradalan,1
AliSot2000,rmawatson,1
Antares0982,tiangolo,1
ArcLightSlavik,tiangolo,1
Areeb455,YuriiMotov,3
Areeb455,casperdcl,1
Aruelius,tiangolo,2
Ayu456sh,casperdcl,1
Azazul123,SakibSibly,4
BastienGimbert,Joab0,3
BastienGimbert,ibrahimpelumi6142,2
BharatShukla30,YuriiMotov,1
BillionClaw,alex-raw,1
Cito,YuriiMotov,1
Cybernetic-Ransomware,Charisn,4
Danstiv,tiangolo,1
Davis-3450,adityagiri3600,1
DianaTrufanova,NavesSapnis,4
DianaTrufanova,valentinDruzhinin,12
DoctorJohn,tiangolo,4
EdmilsonRodrigues,ceb10n,2
EdmilsonRodrigues,tiangolo,7
HamzaYslmn,yogishhg9964,1
Harshpatil0508,saimahesh8752,2
HenriBlacksmith,JustKiddingCode,1
JavierSanchezCastro,fluffy-dev,1
JefferyHus,leerob,3
Kadermiyanyedi,tiangolo,4
Kagney00,Dawaman43,2
KarelRuzicka,YuriiMotov,2
Kludex,FatimahAlhumaidhi,1
Kludex,YuriiMotov,4
Kludex,musicinmybrain,5
Lancetnik,valentinDruzhinin,4
MarinPostma,abhishekbiswas772,1
MaxwellEnemuo,sankarebarri,2
MinLee0210,ptt3199,3
NEFORCEO,tiangolo,1
OscarMCV-SW,tiangolo,1
P-Muench,berkkaradalan,1
Pavanmanikanta98,mohiuddin-khan-shiam,1
Pentusha,YuriiMotov,1
Pyth3rEx,EstebanDalelR,2
Pyth3rEx,Malak993-lho,2
Pyth3rEx,gabyorel,2
Pyth3rEx,tiangolo,20
Rishat-F,EgorOnishchuk,2
SBillion,YuriiMotov,2
SBillion,tiangolo,12
SadManFahIm,subhashdasyam,5
SaisakthiM,hemanth-thirthahalli,2
Shihasz,jomkv,1
SofiiaTrufanova,valentinDruzhinin,4
TahmidMuntaser,SakibSibly,2
TheCaffinatedDeveloper,mlb-,1
TheoPascoli,tiangolo,1
Tishka17,EgorOnishchuk,1
Tonkonozhenko,FatimahAlhumaidhi,3
Viicos,JavierSanchezCastro,1
Viicos,cjwatson,11
Viicos,cstruct,1
Viicos,ilovemesomeramen,3
Viicos,mvanderlee,2
Vincy1230,tiangolo,9
YuriiMotov,003shrey,2
YuriiMotov,04cb,2
YuriiMotov,1cbyc,1
YuriiMotov,24ds1000054-code,2
YuriiMotov,24f2001045-DS,1
YuriiMotov,ASR1015,2
YuriiMotov,AdarshBennur,1
YuriiMotov,Ads2024,1
YuriiMotov,AhsanSheraz,1
YuriiMotov,Ali-Parandeh,5
YuriiMotov,Amogha-ark,2
YuriiMotov,Amrito20,1
YuriiMotov,AnirudhArrepu,2
