source,target,weight
AA-Turner,chirizxc,1
AlexWaygood,11happy,18
AlexWaygood,AryanBagade,1
AlexWaygood,Avasam,2
AlexWaygood,BlairAllan,2
AlexWaygood,BurntSushi,150
AlexWaygood,CodeMan62,9
AlexWaygood,DetachHead,5
AlexWaygood,EmilyBZhang,1
AlexWaygood,Gankra,77
AlexWaygood,Glyphack,1
AlexWaygood,Hugo-Polloli,15
AlexWaygood,IDrokin117,2
AlexWaygood,InSyncWithFoo,40
AlexWaygood,InvalidPathException,6
AlexWaygood,JelleZijlstra,1
AlexWaygood,JosiahKane,1
AlexWaygood,LaBatata101,13
AlexWaygood,Mathemmagician,3
AlexWaygood,MatthewMckee4,77
AlexWaygood,MeGaGiGaGon,13
AlexWaygood,MichaReiser,235
AlexWaygood,Minibrams,5
AlexWaygood,PrettyWood,2
AlexWaygood,RasmusNygren,10
AlexWaygood,RazerM,1
AlexWaygood,Renkai,6
AlexWaygood,ShaharNaveh,1
AlexWaygood,Skylion007,2
AlexWaygood,TaKO8Ki,5
AlexWaygood,UnboundVariable,2
AlexWaygood,Viicos,2
AlexWaygood,WillDuke,29
AlexWaygood,Wizzerinus,7
AlexWaygood,abhijeetbodas2001,19
AlexWaygood,adamaaronson,3
AlexWaygood,adriencaccia,2
AlexWaygood,akx,8
AlexWaygood,alex,4
AlexWaygood,alpaylan,5
AlexWaygood,amyreese,7
AlexWaygood,benbaror,5
AlexWaygood,bhaveshklaviyo,1
AlexWaygood,brandtbucher,1
AlexWaygood,bxff,18
AlexWaygood,cake-monotone,4
AlexWaygood,carljm,188
AlexWaygood,charliermarsh,425
AlexWaygood,choucavalier,1
AlexWaygood,danparizher,9
AlexWaygood,dcreager,172
AlexWaygood,decorator-factory,6
AlexWaygood,denyszhak,12
AlexWaygood,dericcrago,1
AlexWaygood,dhruvmanila,52
AlexWaygood,drbh,2
AlexWaygood,dylwil3,14
AlexWaygood,ericmarkmartin,15
AlexWaygood,felixscherz,14
AlexWaygood,fgiacome,2
AlexWaygood,figsoda,4
AlexWaygood,hayk-corpusant,2
AlexWaygood,ibraheemdev,124
AlexWaygood,jhartum,10
AlexWaygood,jnooree,4
AlexWaygood,kirankotari,1
AlexWaygood,knutwannheden,10
AlexWaygood,konstin,1
AlexWaygood,leandrobbraga,1
AlexWaygood,lipefree,19
AlexWaygood,lucach,1
AlexWaygood,maifeeulasad,2
AlexWaygood,manueljacob,1
AlexWaygood,manzt,1
AlexWaygood,maxmynter,1
AlexWaygood,med1844,1
AlexWaygood,mishamsk,6
AlexWaygood,missingdays,1
AlexWaygood,mmlb,3
AlexWaygood,mschoettle,1
AlexWaygood,mswart,1
AlexWaygood,mtshiba,66
AlexWaygood,mvanhorn,2
AlexWaygood,natelust,2
AlexWaygood,ntBre,77
AlexWaygood,oconnor663,118
AlexWaygood,ollema,7
AlexWaygood,omahs,1
AlexWaygood,rbange,1
AlexWaygood,rizzip,1
AlexWaygood,robsdedude,2
AlexWaygood,saada,1
AlexWaygood,sharkdp,542
AlexWaygood,silamon,20
AlexWaygood,sinon,12
AlexWaygood,thejchap,13
AlexWaygood,vitali87,1
AlexWaygood,vladapostol1,2
AlexWaygood,wavebyrd,1
AlexWaygood,woodruffw,5
AlexWaygood,zanieb,53
Avasam,LaBatata101,1
Avasam,naslundx,1
Avasam,trag1c,1
BarrensZeppelin,otakutyrant,1
BlindChickens,danparizher,1
BurntSushi,AlexWaygood,15
BurntSushi,Gankra,11
BurntSushi,Glyphack,3
BurntSushi,Hugo-Polloli,6
BurntSushi,Kalmaegi,6
BurntSushi,MatthewMckee4,23
BurntSushi,MichaReiser,38
BurntSushi,Minibrams,2
BurntSushi,RasmusNygren,20
BurntSushi,Renkai,4
BurntSushi,TaKO8Ki,1
BurntSushi,adamnemecek,3
BurntSushi,agustif,1
