source,target,weight
AA-Turner,chirizxc,1
AlexWaygood,11happy,32
AlexWaygood,AryanBagade,2
AlexWaygood,Avasam,4
AlexWaygood,BlairAllan,2
AlexWaygood,BurntSushi,260
AlexWaygood,CodeMan62,15
AlexWaygood,DetachHead,10
AlexWaygood,EmilyBZhang,2
AlexWaygood,Gankra,128
AlexWaygood,Glyphack,2
AlexWaygood,Hugo-Polloli,26
AlexWaygood,IDrokin117,2
AlexWaygood,InSyncWithFoo,75
AlexWaygood,InvalidPathException,10
AlexWaygood,JelleZijlstra,2
AlexWaygood,JosiahKane,2
AlexWaygood,LaBatata101,22
AlexWaygood,Mathemmagician,3
AlexWaygood,MatthewMckee4,135
AlexWaygood,MeGaGiGaGon,26
AlexWaygood,MichaReiser,402
AlexWaygood,Minibrams,6
AlexWaygood,PrettyWood,4
AlexWaygood,RasmusNygren,15
AlexWaygood,RazerM,2
AlexWaygood,Renkai,8
AlexWaygood,ShaharNaveh,2
AlexWaygood,Skylion007,2
AlexWaygood,TaKO8Ki,9
AlexWaygood,UnboundVariable,2
AlexWaygood,Viicos,4
AlexWaygood,WillDuke,50
AlexWaygood,Wizzerinus,8
AlexWaygood,abhijeetbodas2001,31
AlexWaygood,adamaaronson,4
AlexWaygood,adriencaccia,3
AlexWaygood,akx,10
AlexWaygood,alex,4
AlexWaygood,alpaylan,10
AlexWaygood,amyreese,13
AlexWaygood,benbaror,9
AlexWaygood,bhaveshklaviyo,2
AlexWaygood,brandtbucher,2
AlexWaygood,bxff,30
AlexWaygood,cake-monotone,4
AlexWaygood,carljm,318
AlexWaygood,charliermarsh,720
AlexWaygood,choucavalier,1
AlexWaygood,danparizher,16
AlexWaygood,dcreager,300
AlexWaygood,decorator-factory,11
AlexWaygood,denyszhak,20
AlexWaygood,dericcrago,1
AlexWaygood,dhruvmanila,96
AlexWaygood,drbh,4
AlexWaygood,dylwil3,23
AlexWaygood,ericmarkmartin,29
AlexWaygood,felixscherz,22
AlexWaygood,fgiacome,3
AlexWaygood,figsoda,5
AlexWaygood,hayk-corpusant,3
AlexWaygood,ibraheemdev,203
AlexWaygood,jhartum,17
AlexWaygood,jnooree,7
AlexWaygood,kirankotari,1
AlexWaygood,knutwannheden,14
AlexWaygood,konstin,2
AlexWaygood,leandrobbraga,2
AlexWaygood,lipefree,34
AlexWaygood,lucach,2
AlexWaygood,maifeeulasad,4
AlexWaygood,manueljacob,2
AlexWaygood,manzt,1
AlexWaygood,maxmynter,2
AlexWaygood,med1844,1
AlexWaygood,mishamsk,9
