source,target,weight
275RR,jose-mindwayai,2
AlvarezEtc,velochy,4
Berschi,raethlein,1
Dev-iL,lukasmasuch,2
Erik-Dan-Tran,aebrahim,1
EwoutH,lukasmasuch,1
GhaithqD,aebrahim,1
LarsK1,velochy,1
LeeJMorel,aebrahim,1
MajorDaxx,wyattscarpenter,1
MarcSkovMadsen,sfc-gh-bnisco,1
MathCatsAnd,lukasmasuch,5
MathCatsAnd,sfc-gh-bnisco,1
MathCatsAnd,sfc-gh-dmatthews,1
OrthelT,lukasmasuch,1
RonaldAJ,sfc-gh-nbellante,1
USDTLORD1,lukasmasuch,1
aimtsou,plumol,1
andreif-funnel,lukasmasuch,1
asehmi,sfc-gh-nbellante,1
bew,kajarenc,2
bew,lukasmasuch,1
bew,mayagbarnes,1
bew,sfc-gh-dmatthews,2
bew,sfc-gh-tteixeira,2
bodacious-bill,lukasmasuch,1
capgeminichristianerling,velochy,4
chrispy-snps,mayagbarnes,1
diwu-sf,lukasmasuch,1
github-advanced-security,An1k4et,1
github-advanced-security,Prhmma,1
github-advanced-security,TreavVasu,1
github-advanced-security,bajajku,1
github-advanced-security,cgivre,2
github-advanced-security,duartecaldascardoso,2
github-advanced-security,jerome-auguste,1
github-advanced-security,jose-mindwayai,1
github-advanced-security,jrieke,2
github-advanced-security,kajarenc,1
github-advanced-security,kmcgrady,1
github-advanced-security,lukasmasuch,33
github-advanced-security,majiayu000,2
github-advanced-security,mayagbarnes,11
github-advanced-security,plumol,1
github-advanced-security,raethlein,4
github-advanced-security,ranmocy,1
github-advanced-security,rishi-kumar0612,1
github-advanced-security,sea-turt1e,1
github-advanced-security,sfc-gh-aamadhavan,1
github-advanced-security,sfc-gh-bnisco,10
github-advanced-security,sfc-gh-gwatters,1
github-advanced-security,sfc-gh-kmcgrady,2
github-advanced-security,sfc-gh-lwilby,28
github-advanced-security,sfc-gh-nbellante,7
github-advanced-security,sfc-gh-smohile,7
github-advanced-security,sfc-gh-tteixeira,2
github-advanced-security,tiagorb1,1
github-advanced-security,tysoncung,1
github-advanced-security,velochy,2
github-advanced-security,xtliu97,1
github-code-quality,jrieke,1
github-code-quality,kmcgrady,2
github-code-quality,lukasmasuch,62
github-code-quality,mayagbarnes,7
github-code-quality,sfc-gh-aamadhavan,9
github-code-quality,sfc-gh-bnisco,2
github-code-quality,sfc-gh-jkinkead,1
github-code-quality,sfc-gh-kmcgrady,4
github-code-quality,sfc-gh-lwilby,2
github-code-quality,sfc-gh-nbellante,4
github-code-quality,sfc-gh-tteixeira,3
github-code-quality,vdonato,3
gquinche,jrieke,1
graphite-app,AdamEssemaali,2
graphite-app,An1k4et,1
graphite-app,Ayush-327,1
graphite-app,Bortlesboat,1
graphite-app,Clefairybiubiubiu,4
graphite-app,Darkace01,1
graphite-app,Franco-15,1
graphite-app,J-Abitria,1
graphite-app,JingYiJun,1
graphite-app,MEZHOUDCherifa,1
graphite-app,ManasVardhan,1
graphite-app,MathCatsAnd,3
graphite-app,MuhdRayan10,1
graphite-app,Navadeep0007,2
graphite-app,Nayil97,1
graphite-app,Sourabh6493,2
graphite-app,Tomo1912,1
graphite-app,TreavVasu,6
graphite-app,VedantMadane,1
graphite-app,Zane-dev16,1
