source,target,weight
DanTup,alexr00,1
DonJayamanne,alexr00,16
DonJayamanne,joshspicer,9
DonJayamanne,kabel,2
DonJayamanne,mjbvz,3
DonJayamanne,mrleemurray,1
DonJayamanne,osortega,5
DonJayamanne,rebornix,6
DonJayamanne,timrogers,1
JanKoszewski,alexr000,1
TylerLeonhardt,alexr00,1
TylerLeonhardt,joshspicer,14
TylerLeonhardt,mjbvz,3
TylerLeonhardt,pwang347,1
TylerLeonhardt,rebornix,1
Tyriar,alexr00,95
Tyriar,dyhagho,1
Tyriar,joshspicer,12
Tyriar,kycutler,1
Tyriar,lramos15,1
Tyriar,mjbvz,4
Tyriar,mrleemurray,5
Tyriar,osortega,7
Tyriar,rebornix,6
Tyriar,vicky1999,1
Wetmelon,alexr00,1
YounisDany,hunterhogan,1
YounisDany,rebornix,3
Yoyokrazy,joshspicer,2
Yoyokrazy,osortega,2
Yoyokrazy,rebornix,2
aeschli,alexr00,27
aeschli,joshspicer,3
aeschli,krassowski,1
aeschli,osortega,1
aiday-mar,alexr00,31
alexdima,alexr00,5
alexr00,AobaIwaki123,2
alexr00,ArtemFilin1990,1
alexr00,Daniel-Aaron-Bloom,9
alexr00,DonJayamanne,1
alexr00,Mamonaminyar,1
alexr00,bendrucker,3
alexr00,bpasero,2
alexr00,dependabot,25
alexr00,dineshc-msft,1
alexr00,dyhagho,4
alexr00,gerardbalaoro,2
alexr00,gvilums,4
alexr00,hunterhogan,3
alexr00,ipcjs,3
alexr00,joshspicer,30
alexr00,jruales,1
alexr00,kabel,12
alexr00,krassowski,2
alexr00,kycutler,11
alexr00,laharigandrapu11,1
alexr00,ljhlh49-dot,2
alexr00,lramos15,1
alexr00,lszomoru,1
alexr00,mjbvz,11
alexr00,mohamedamara1,2
alexr00,mrleemurray,7
alexr00,osortega,21
alexr00,pwang347,4
alexr00,rebornix,8
alexr00,rzhao271,2
alexr00,smith,2
alexr00,timrogers,2
alexr00,vicky1999,8
alexr00,wankun-tcj,2
amunger,joshspicer,2
amunger,mjbvz,1
anthonykim1,alexr00,5
anthonykim1,rebornix,2
azure-pipelines,Daniel-Aaron-Bloom,2
azure-pipelines,bendrucker,1
azure-pipelines,dyhagho,1
azure-pipelines,gerardbalaoro,1
azure-pipelines,gvilums,1
azure-pipelines,ipcjs,1
azure-pipelines,kabel,3
azure-pipelines,krassowski,1
azure-pipelines,timrogers,1
azure-pipelines,vicky1999,3
azure-pipelines,wankun-tcj,1
bamurtaugh,joshspicer,1
benibenj,alexr00,22
benibenj,joshspicer,1
bhavyaus,alexr00,1
bhavyaus,joshspicer,3
bhavyaus,mjbvz,1
bpasero,Daniel-Aaron-Bloom,1
bpasero,alexr00,53
bpasero,ipcjs,1
bpasero,krassowski,1
bpasero,vicky1999,1
catskul,alexr00,1
chrmarti,Daniel-Aaron-Bloom,1
chrmarti,alexr00,32
chrmarti,kycutler,1
clicktodev,kycutler,1
connor4312,alexr00,2
connor4312,joshspicer,3
connor4312,osortega,1
connor4312,vijayupadya,1
dbaeumer,alexr00,25
dbaeumer,mrleemurray,1
dbaeumer,osortega,1
dbaeumer,vicky1999,1
deepak1556,alexr00,3
dmitrivMS,alexr00,25
dmitrivMS,joshspicer,8
dmitrivMS,mrleemurray,1
dmitrivMS,osortega,2
eleanorjboyd,alexr00,1
eleanorjboyd,joshspicer,3
eleanorjboyd,mrleemurray,1
frontier159,alexr00,2
github-advanced-security,alexr00,1
github-advanced-security,kycutler,1
glektarssza,alexr00,2
happyhelper188,alexr00,1
hediet,alexr00,16
hediet,joshspicer,1
hediet,kabel,1
hediet,mjbvz,1
homeoffice2028rjx-gif,alexr00,1
jmaa4,alexr00,1
joaomoreno,alexr00,19
joe10832,alexr00,1
joe10832,joshspicer,1
jorenham,hunterhogan,3
joshspicer,alexr00,8
joshspicer,mjbvz,3
joshspicer,osortega,4
joshspicer,pwang347,5
joshspicer,rebornix,7
jrieken,alexr00,19
justingrant,alexr00,1
justschen,alexr00,3
justschen,joshspicer,3
justschen,mjbvz,1
justschen,mrleemurray,1
justschen,osortega,1
justschen,rebornix,3
karthiknadig,alexr00,4
karthiknadig,joshspicer,2
kieferrm,alexr00,1
knight174,mohamedamara1,1
kycutler,alexr00,1
lramos15,alexr00,15
lramos15,mrleemurray,1
lramos15,osortega,1
lszomoru,alexr00,95
lszomoru,bendrucker,1
lszomoru,gvilums,1
lszomoru,joshspicer,2
lszomoru,mrleemurray,1
lszomoru,rebornix,3
lszomoru,wankun-tcj,1
mjbvz,alexr00,10
mjbvz,joshspicer,6
mjbvz,osortega,1
mjbvz,vijayupadya,2
mogelbrod,laharigandrapu11,1
mrleemurray,alexr00,1
ntrogh,alexr00,1
ntrogh,bpasero,1
omreemr42,Mamonaminyar,1
osortega,alexr00,6
osortega,joshspicer,5
osortega,rebornix,9
pWoLiAn,alexr00,2
pubpepubpe-del,joshspicer,1
pwang347,joshspicer,1
rangheng333-lgtm,joshspicer,1
rebornix,alexr00,6
rebornix,joshspicer,23
rebornix,mjbvz,3
rebornix,osortega,9
rebornix,timrogers,3
roblourens,alexr00,4
roblourens,joshspicer,6
roblourens,osortega,3
roblourens,rebornix,3
rzhao271,alexr00,15
rzhao271,dependabot,1
rzhao271,joshspicer,15
rzhao271,kycutler,1
rzhao271,mjbvz,2
rzhao271,mrleemurray,2
rzhao271,osortega,6
rzhao271,rebornix,5
rzhao271,timrogers,3
sandy081,alexr00,25
