source,target,weight
DanTup,alexr00,1
DonJayamanne,alexr00,32
DonJayamanne,joshspicer,18
DonJayamanne,kabel,4
DonJayamanne,mjbvz,6
DonJayamanne,mrleemurray,2
DonJayamanne,osortega,10
DonJayamanne,rebornix,12
DonJayamanne,timrogers,2
JanKoszewski,alexr000,2
TylerLeonhardt,alexr00,2
TylerLeonhardt,joshspicer,28
TylerLeonhardt,mjbvz,6
TylerLeonhardt,pwang347,1
TylerLeonhardt,rebornix,2
Tyriar,alexr00,189
Tyriar,dyhagho,2
Tyriar,joshspicer,24
Tyriar,kycutler,2
Tyriar,lramos15,2
Tyriar,mjbvz,8
Tyriar,mrleemurray,10
Tyriar,osortega,13
Tyriar,rebornix,12
Tyriar,vicky1999,2
Wetmelon,alexr00,1
YounisDany,hunterhogan,2
YounisDany,rebornix,4
Yoyokrazy,joshspicer,4
Yoyokrazy,osortega,4
Yoyokrazy,rebornix,4
aeschli,alexr00,54
aeschli,joshspicer,6
aeschli,krassowski,2
aeschli,osortega,2
aiday-mar,alexr00,61
alexdima,alexr00,10
alexr00,AobaIwaki123,3
alexr00,ArtemFilin1990,1
alexr00,Daniel-Aaron-Bloom,16
alexr00,DonJayamanne,1
alexr00,Mamonaminyar,1
alexr00,bendrucker,4
alexr00,bpasero,4
alexr00,dependabot,49
alexr00,dineshc-msft,2
alexr00,dyhagho,7
alexr00,gerardbalaoro,3
alexr00,gvilums,6
alexr00,hunterhogan,4
alexr00,ipcjs,4
alexr00,joshspicer,58
alexr00,jruales,2
alexr00,kabel,18
alexr00,krassowski,3
alexr00,kycutler,22
alexr00,laharigandrapu11,2
alexr00,ljhlh49-dot,2
alexr00,lramos15,2
alexr00,lszomoru,2
alexr00,mjbvz,21
alexr00,mohamedamara1,3
alexr00,mrleemurray,14
alexr00,osortega,41
alexr00,pwang347,8
alexr00,rebornix,16
alexr00,rzhao271,4
alexr00,smith,3
alexr00,timrogers,3
alexr00,vicky1999,12
alexr00,wankun-tcj,3
amunger,joshspicer,4
amunger,mjbvz,2
anthonykim1,alexr00,10
anthonykim1,rebornix,4
azure-pipelines,Daniel-Aaron-Bloom,2
azure-pipelines,bendrucker,1
azure-pipelines,dyhagho,1
azure-pipelines,gerardbalaoro,1
azure-pipelines,gvilums,1
azure-pipelines,ipcjs,1
azure-pipelines,kabel,3
azure-pipelines,krassowski,1
azure-pipelines,timrogers,1
