node,strength,betweenness
MichaReiser,3965.0,59238.99940735828
ntBre,2669.0,47646.53482303462
AlexWaygood,4041.0,15925.946035040419
carljm,2260.0,14786.245361132535
amyreese,513.0,9945.935285828138
charliermarsh,1009.0,8262.774963748381
dhruvmanila,884.0,7150.604511377001
sharkdp,1726.0,6785.468559144025
dscorbett,62.0,6378.695141661748
dylwil3,515.0,5949.030251203031
leandrobbraga,61.0,4237.735762183154
dcreager,829.0,4179.281327146014
InSyncWithFoo,99.0,4087.321960056322
danparizher,403.0,3867.2327468062686
bxff,43.0,3520.2249397188716
BurntSushi,649.0,2733.0046822237987
chirizxc,239.0,2130.411458506233
Lee-W,173.0,2024.5147145295352
Gankra,443.0,1985.220847779673
ericmarkmartin,90.0,1597.0364495540578
MeGaGiGaGon,130.0,1594.7675599248712
denyszhak,75.0,1500.9525252525245
ibraheemdev,496.0,1455.4284132909072
TaKO8Ki,94.0,1370.8891698171112
zanieb,180.0,1359.2848767847213
silamon,45.0,1354.1691280941297
LaBatata101,195.0,1281.321695762099
Kalmaegi,51.0,1196.3917244434274
oconnor663,301.0,1117.0250808015505
