node,community_id,strength
ntBre,0,2669.0
dylwil3,0,515.0
amyreese,0,513.0
danparizher,0,403.0
chirizxc,0,239.0
Lee-W,0,173.0
11happy,0,165.0
MeGaGiGaGon,0,130.0
maxmynter,0,91.0
sjyangkevin,0,67.0
dscorbett,0,62.0
leandrobbraga,0,61.0
robsdedude,0,61.0
VascoSch92,0,59.0
IDrokin117,0,58.0
Jkhall81,0,52.0
Kalmaegi,0,51.0
anishgirianish,0,42.0
kar-ganap,0,41.0
Dev-iL,0,38.0
LoicRiegel,0,34.0
yunchipang,0,31.0
mikeleppane,0,29.0
twentyone212121,0,26.0
RazerM,0,23.0
njhearp,0,23.0
GDYendell,0,20.0
Bnyro,0,17.0
lubaskinc0de,0,17.0
prabhusneha,0,16.0
augustelalande,0,15.0
soundsonacid,0,15.0
DaniBodor,0,14.0
getehen,0,14.0
harupy,0,14.0
phongddo,0,14.0
tvatter,0,14.0
Alex-ley-scrub,0,13.0
PieterCK,0,13.0
aidandj,0,12.0
eureka928,0,12.0
gcomneno,0,12.0
knavdeep152002,0,12.0
akawd,0,11.0
dericcrago,0,11.0
stakeswky,0,11.0
vjurczenia,0,11.0
wilt00,0,11.0
Avasam,0,10.0
Skylion007,0,10.0
eduardorittner,0,10.0
junhsonjb,0,10.0
jvacek,0,10.0
fatelei,0,9.0
second-ed,0,9.0
hamirmahal,0,8.0
GideonBear,0,7.0
JackAshwell11,0,7.0
hunterhogan,0,7.0
naslundx,0,7.0
o1x3,0,7.0
trag1c,0,7.0
Bortlesboat,0,6.0
Forsigg,0,6.0
PeterJCLaw,0,6.0
adriencaccia,0,6.0
alexreinking,0,6.0
injust,0,6.0
kotx,0,6.0
terror,0,6.0
ya7on,0,6.0
AiyionPrime,0,5.0
Beltranss,0,5.0
FrederickStempfle,0,5.0
auscompgeek,0,5.0
caiquejjx,0,5.0
clockback,0,5.0
close2code-palm,0,5.0
generalmimon,0,5.0
mosauter,0,5.0
neutrinoceros,0,5.0
prakhar1144,0,5.0
tluolamo,0,5.0
tonycoco,0,5.0
CarrotManMatt,0,4.0
GeObts,0,4.0
Luunynliny,0,4.0
Miretpl,0,4.0
UgoM,0,4.0
UnknownPlatypus,0,4.0
Zaczero,0,4.0
a1tus,0,4.0
amin-not-found,0,4.0
amoghrajesh,0,4.0
cwkang1998,0,4.0
deliro,0,4.0
dstandish,0,4.0
guillp,0,4.0
hengky-kurniawan-1,0,4.0
jimhoekstra,0,4.0
laundmo,0,4.0
segoon,0,4.0
shivamtiwari3,0,4.0
statxc,0,4.0
thamer,0,4.0
tinkerer-shubh,0,4.0
vivster7,0,4.0
w0nder1ng,0,4.0
whitequark,0,4.0
IMaloney,0,3.0
K-dash,0,3.0
Ruchir28,0,3.0
VedantMadane,0,3.0
danjones1618,0,3.0
edgarrmondragon,0,3.0
genevieve-me,0,3.0
gtkacz,0,3.0
henryiii,0,3.0
hugovk,0,3.0
jakkdl,0,3.0
jonathan-fulton,0,3.0
liortct,0,3.0
m-aciek,0,3.0
omahs,0,3.0
s0wa48,0,3.0
sososonia-cyber,0,3.0
24f2006299,0,2.0
Acelogic,0,2.0
Aimaghsoodi,0,2.0
Imbuzi,0,2.0
Jie211,0,2.0
LeanderCS,0,2.0
LilMonk,0,2.0
NamelessGO,0,2.0
Paillat-dev,0,2.0
ValdonVitija,0,2.0
Zac-HD,0,2.0
ageorgou,0,2.0
amussara,0,2.0
assadyousuf,0,2.0
camper42,0,2.0
davidt,0,2.0
dhirschfeld,0,2.0
gkowzan,0,2.0
it-education-md,0,2.0
jashparekh,0,2.0
leandrodamascena,0,2.0
maldoinc,0,2.0
mgiovani,0,2.0
mikeshardmind,0,2.0
mkniewallner,0,2.0
mtsokol,0,2.0
ngnpope,0,2.0
omar-y-abdi,0,2.0
onerandomusername,0,2.0
probably-neb,0,2.0
realMelTuc,0,2.0
samuelcolvin,0,2.0
sobolevn,0,2.0
sohamukute,0,2.0
stephenfin,0,2.0
tdulcet,0,2.0
thejcannon,0,2.0
toslunar,0,2.0
webknjaz,0,2.0
xvchris,0,2.0
yairp03,0,2.0
yash27-lab,0,2.0
AA-Turner,0,1.0
AndyBodnar,0,1.0
BlindChickens,0,1.0
Cjkjvfnby,0,1.0
CoderJoshDK,0,1.0
Jah-yee,0,1.0
Jaredw2289-svg,0,1.0
JumboBear,0,1.0
LouisLau-art,0,1.0
ML719,0,1.0
NavdeepK15,0,1.0
Rogdham,0,1.0
SkyBird233,0,1.0
StDymphna,0,1.0
alex-700,0,1.0
art049,0,1.0
ashb,0,1.0
astralcai,0,1.0
augustebaum,0,1.0
bluetech,0,1.0
cbachhuber,0,1.0
ddeepwell,0,1.0
devjerry0,0,1.0
edu-nixon,0,1.0
eli-schwartz,0,1.0
ember91,0,1.0
guyskk,0,1.0
hmvp,0,1.0
jaap3,0,1.0
jbr-noba,0,1.0
jolars,0,1.0
joukewitteveen,0,1.0
jscanvic,0,1.0
jscheffl,0,1.0
kapkekes,0,1.0
larsgeb,0,1.0
lindsey-comet,0,1.0
madduck,0,1.0
majiayu000,0,1.0
mango766,0,1.0
marciska,0,1.0
mashehu,0,1.0
mgaitan,0,1.0
mitre88,0,1.0
mostaszewski,0,1.0
omair445,0,1.0
phiresky,0,1.0
pulphix,0,1.0
pygarap,0,1.0
pyscripter,0,1.0
r266-tech,0,1.0
richardhapb,0,1.0
shearer12345,0,1.0
simon-liebehenschel,0,1.0
simonpercivall,0,1.0
skellys,0,1.0
sunank200,0,1.0
tacaswell,0,1.0
thecaptain789,0,1.0
tjkuson,0,1.0
user27182,0,1.0
zach-overflow,0,1.0
MichaReiser,1,3965.0
dhruvmanila,1,884.0
BurntSushi,1,649.0
Gankra,1,443.0
MatthewMckee4,1,374.0
LaBatata101,1,195.0
zanieb,1,180.0
TaKO8Ki,1,94.0
denyszhak,1,75.0
UnboundVariable,1,68.0
CodeMan62,1,55.0
RasmusNygren,1,53.0
ShaharNaveh,1,41.0
sinon,1,29.0
Renkai,1,28.0
Wizzerinus,1,23.0
K900,1,22.0
DimitriPapadopoulos,1,21.0
mmlb,1,17.0
zsol,1,16.0
MusicalNinjaDad,1,15.0
RenzoMXD,1,15.0
konstin,1,14.0
seroperson,1,14.0
bitloi,1,13.0
decorator-factory,1,12.0
figsoda,1,12.0
chinar-amrutkar,1,11.0
hauntsaninja,1,11.0
jordyjwilliams,1,11.0
Daverball,1,10.0
Minibrams,1,10.0
cristian64,1,10.0
flying-sheep,1,10.0
missingdays,1,10.0
mvanhorn,1,10.0
jelle-openai,1,9.0
moktamd,1,9.0
tsvikas,1,9.0
magic-akari,1,8.0
otakutyrant,1,8.0
adamnemecek,1,7.0
cetanu,1,7.0
fgiacome,1,7.0
gauthsvenkat,1,7.0
iksuddle,1,7.0
pieterh-oai,1,7.0
sochotnicky,1,7.0
FilipAndersson245,1,6.0
Guillaume-Fgt,1,6.0
bittoby,1,6.0
bombsimon,1,6.0
choucavalier,1,6.0
j178,1,6.0
jorenham,1,6.0
lucach,1,6.0
mahiro72,1,6.0
matthewlloyd,1,6.0
rowillia,1,6.0
rushter,1,6.0
senekor,1,6.0
Danielkonge,1,5.0
Pierce5080,1,5.0
VanOvermeire,1,5.0
bybrooks,1,5.0
celestialorb,1,5.0
charliecloudberry,1,5.0
eyupcanakman,1,5.0
kaddkaka,1,5.0
quencs,1,5.0
rchiodo,1,5.0
vivodi,1,5.0
Geo5,1,4.0
WhyNotHugo,1,4.0
agustif,1,4.0
brainwane,1,4.0
corneliusroemer,1,4.0
karlicoss,1,4.0
kiran-4444,1,4.0
ngroman,1,4.0
ognevny,1,4.0
pantha704,1,4.0
youknowone,1,4.0
Adamkadaban,1,3.0
CreatedBySeb,1,3.0
MaddyGuthridge,1,3.0
Vasanth-96,1,3.0
ZedThree,1,3.0
ZeusKC52,1,3.0
alejsdev,1,3.0
alex-gregory-ds,1,3.0
dataCenter430,1,3.0
fennr,1,3.0
ficd0,1,3.0
krikera,1,3.0
markjm,1,3.0
mjpieters,1,3.0
pakal,1,3.0
penguinolog,1,3.0
pirate,1,3.0
timhoffm,1,3.0
Andrej730,1,2.0
Dris101,1,2.0
JosiahKane,1,2.0
KotlinIsland,1,2.0
ShalokShalom,1,2.0
Tenzer,1,2.0
andrewgross,1,2.0
cclauss,1,2.0
dsherret,1,2.0
eskultety,1,2.0
ferdnyc,1,2.0
ffgan,1,2.0
jack-mcivor,1,2.0
jretz,1,2.0
kevind-kizen,1,2.0
kieran-ryan,1,2.0
kitagry,1,2.0
lukaspiatkowski,1,2.0
titanous,1,2.0
BarrensZeppelin,1,1.0
Decodetalkers,1,1.0
Radovenchyk,1,1.0
ShikChen,1,1.0
SmikeForYou,1,1.0
Usul-Dev,1,1.0
YilunAllenChen,1,1.0
adamsol,1,1.0
aronhoff,1,1.0
axxeny,1,1.0
brendancooley,1,1.0
browniebroke,1,1.0
carlo711,1,1.0
cenviity,1,1.0
csalerno-asml,1,1.0
dennis-wey,1,1.0
dogukancagatay,1,1.0
dragon-dxw,1,1.0
dsully,1,1.0
esadek,1,1.0
fdosani,1,1.0
geofft,1,1.0
jamilraichouni,1,1.0
jbarnoud,1,1.0
jensens,1,1.0
jsh9,1,1.0
kreathon,1,1.0
lepotatoclaw,1,1.0
lmmx,1,1.0
lukeanderson93,1,1.0
lukeshingles,1,1.0
mangolemur,1,1.0
manmartgarc,1,1.0
mscheifer,1,1.0
nickjj,1,1.0
nojaf,1,1.0
oscargus,1,1.0
pjonsson,1,1.0
raashish1601,1,1.0
salahelfarissi,1,1.0
shimies,1,1.0
swnb,1,1.0
tmimmanuel,1,1.0
vertti,1,1.0
winwinashwin,1,1.0
AlexWaygood,2,4041.0
carljm,2,2260.0
sharkdp,2,1726.0
charliermarsh,2,1009.0
dcreager,2,829.0
ibraheemdev,2,496.0
mtshiba,2,331.0
oconnor663,2,301.0
abhijeetbodas2001,2,106.0
InSyncWithFoo,2,99.0
thejchap,2,94.0
ericmarkmartin,2,90.0
Glyphack,2,88.0
Hugo-Polloli,2,67.0
WillDuke,2,58.0
JelleZijlstra,2,54.0
lipefree,2,52.0
silamon,2,45.0
PrettyWood,2,44.0
bxff,2,43.0
cake-monotone,2,31.0
mishamsk,2,31.0
alex,2,29.0
knutwannheden,2,26.0
med1844,2,25.0
felixscherz,2,24.0
chatgpt-codex-connector,2,21.0
natelust,2,19.0
jhartum,2,17.0
akx,2,13.0
manzt,2,11.0
saada,2,11.0
T-256,2,9.0
ollema,2,9.0
rayzeller,2,9.0
sakgoyal,2,9.0
theammir,2,9.0
BlairAllan,2,8.0
InvalidPathException,2,8.0
