node,community_id,strength
ntBre,0,4656.0
amyreese,0,895.0
dylwil3,0,888.0
danparizher,0,687.0
chirizxc,0,402.0
Lee-W,0,290.0
11happy,0,282.0
MeGaGiGaGon,0,226.0
TaKO8Ki,0,166.0
maxmynter,0,154.0
sjyangkevin,0,118.0
robsdedude,0,110.0
leandrobbraga,0,102.0
VascoSch92,0,98.0
dscorbett,0,93.0
IDrokin117,0,90.0
Kalmaegi,0,84.0
Jkhall81,0,81.0
woodruffw,0,79.0
anishgirianish,0,74.0
kar-ganap,0,69.0
Dev-iL,0,60.0
yunchipang,0,55.0
LoicRiegel,0,54.0
twentyone212121,0,44.0
mikeleppane,0,40.0
njhearp,0,40.0
RazerM,0,38.0
GDYendell,0,36.0
Bnyro,0,33.0
lubaskinc0de,0,33.0
zsol,0,27.0
Alex-ley-scrub,0,24.0
PieterCK,0,24.0
augustelalande,0,24.0
harupy,0,24.0
soundsonacid,0,24.0
prabhusneha,0,23.0
DaniBodor,0,22.0
getehen,0,22.0
phongddo,0,22.0
stakeswky,0,21.0
akawd,0,20.0
dericcrago,0,20.0
junhsonjb,0,20.0
eureka928,0,19.0
vjurczenia,0,19.0
fatelei,0,18.0
Avasam,0,17.0
eduardorittner,0,17.0
knavdeep152002,0,17.0
wilt00,0,17.0
gcomneno,0,16.0
tvatter,0,16.0
aidandj,0,15.0
shaanmajid,0,15.0
naslundx,0,14.0
jvacek,0,13.0
JackAshwell11,0,12.0
hamirmahal,0,12.0
terror,0,12.0
trag1c,0,12.0
GideonBear,0,11.0
Skylion007,0,11.0
o1x3,0,11.0
second-ed,0,11.0
adriencaccia,0,10.0
hunterhogan,0,10.0
prakhar1144,0,10.0
Bortlesboat,0,9.0
FrederickStempfle,0,9.0
caiquejjx,0,9.0
close2code-palm,0,9.0
generalmimon,0,9.0
kotx,0,9.0
PeterJCLaw,0,8.0
clockback,0,8.0
injust,0,8.0
samypr100,0,8.0
tinkerer-shubh,0,8.0
vivster7,0,8.0
Beltranss,0,7.0
Forsigg,0,7.0
Luunynliny,0,7.0
deliro,0,7.0
hengky-kurniawan-1,0,7.0
jimhoekstra,0,7.0
thamer,0,7.0
w0nder1ng,0,7.0
ya7on,0,7.0
AiyionPrime,0,6.0
GeObts,0,6.0
K-dash,0,6.0
Ruchir28,0,6.0
a1tus,0,6.0
alexreinking,0,6.0
amin-not-found,0,6.0
auscompgeek,0,6.0
neutrinoceros,0,6.0
CarrotManMatt,0,5.0
UgoM,0,5.0
Zaczero,0,5.0
amoghrajesh,0,5.0
danjones1618,0,5.0
dstandish,0,5.0
liortct,0,5.0
m-aciek,0,5.0
mosauter,0,5.0
omahs,0,5.0
shivamtiwari3,0,5.0
tluolamo,0,5.0
tonycoco,0,5.0
Imbuzi,0,4.0
LeanderCS,0,4.0
LilMonk,0,4.0
Miretpl,0,4.0
NamelessGO,0,4.0
UnknownPlatypus,0,4.0
ValdonVitija,0,4.0
VedantMadane,0,4.0
ageorgou,0,4.0
assadyousuf,0,4.0
edgarrmondragon,0,4.0
genevieve-me,0,4.0
gtkacz,0,4.0
guillp,0,4.0
hugovk,0,4.0
jakkdl,0,4.0
laundmo,0,4.0
mgiovani,0,4.0
mkniewallner,0,4.0
ngnpope,0,4.0
omar-y-abdi,0,4.0
s0wa48,0,4.0
segoon,0,4.0
sobolevn,0,4.0
sososonia-cyber,0,4.0
thejcannon,0,4.0
webknjaz,0,4.0
whitequark,0,4.0
xvchris,0,4.0
Acelogic,0,3.0
Aimaghsoodi,0,3.0
IMaloney,0,3.0
Jie211,0,3.0
Paillat-dev,0,3.0
Rohan5commit,0,3.0
camper42,0,3.0
gkowzan,0,3.0
henryiii,0,3.0
it-education-md,0,3.0
jonathan-fulton,0,3.0
onerandomusername,0,3.0
realMelTuc,0,3.0
toslunar,0,3.0
yairp03,0,3.0
24f2006299,0,2.0
Cjkjvfnby,0,2.0
JumboBear,0,2.0
Rogdham,0,2.0
SkyBird233,0,2.0
Zac-HD,0,2.0
amussara,0,2.0
art049,0,2.0
ashb,0,2.0
cbachhuber,0,2.0
davidt,0,2.0
dhirschfeld,0,2.0
ember91,0,2.0
hmvp,0,2.0
jaap3,0,2.0
jashparekh,0,2.0
jscanvic,0,2.0
leandrodamascena,0,2.0
