node,community_id,strength
graphite-app,0,1877.0
jrieke,0,505.0
sfc-gh-dmatthews,0,303.0
sfc-gh-smohile,0,232.0
sfc-gh-tteixeira,0,147.0
sfc-gh-jkinkead,0,111.0
sfc-gh-jrieke,0,60.0
bajajku,0,58.0
jose-mindwayai,0,49.0
jensonjohnathon,0,47.0
kagawa0710,0,43.0
duartecaldascardoso,0,36.0
xtliu97,0,35.0
wyattscarpenter,0,33.0
andreasntr,0,31.0
plumol,0,30.0
zyfy29,0,28.0
t0k0shi,0,25.0
nico-bellante,0,24.0
TreavVasu,0,21.0
jerome-auguste,0,18.0
nehaaprasad,0,17.0
rishi-kumar0612,0,16.0
aebrahim,0,15.0
axelcarapinha,0,15.0
davidsjoberg1,0,15.0
Clefairybiubiubiu,0,13.0
fridaeriksenaess,0,13.0
rishabhjain1712,0,13.0
katerinatsikoura,0,12.0
Darkace01,0,11.0
bew,0,10.0
meet-vasita,0,10.0
huskhi,0,9.0
AdamEssemaali,0,8.0
marcolanfranchi,0,8.0
rahuld109,0,8.0
rwelgosh,0,8.0
Franco-15,0,7.0
Nayil97,0,7.0
dweepvira,0,7.0
ghassenTn,0,7.0
nitinjadhav888,0,7.0
Navadeep0007,0,6.0
devbyteai,0,6.0
diwu-sf,0,6.0
duvvuvenkataramana,0,6.0
jaybfn,0,6.0
nileshhadalgi016,0,6.0
JingYiJun,0,5.0
VedantMadane,0,5.0
aryanagg,0,5.0
hpcslag,0,5.0
rpgjarman,0,5.0
sridhar-mani,0,5.0
vullankib,0,5.0
Ayush-327,0,4.0
Sourabh6493,0,4.0
bibekmhj,0,4.0
iyertrisha,0,4.0
veeceey,0,4.0
ManasVardhan,0,3.0
Zane-dev16,0,3.0
danielalanbates,0,3.0
goncalossmartins,0,3.0
henrydai16,0,3.0
prashcod,0,3.0
shamis15,0,3.0
syed-saif,0,3.0
275RR,0,2.0
Aroool,0,2.0
Bortlesboat,0,2.0
DHANUSHRAJA22,0,2.0
J-Abitria,0,2.0
MEZHOUDCherifa,0,2.0
Tomo1912,0,2.0
avhz,0,2.0
blackary,0,2.0
dlmdlmdlm2,0,2.0
julio9205,0,2.0
lix8886,0,2.0
maddie0120,0,2.0
muliahulia,0,2.0
nik-jones,0,2.0
rhstanmoreequipment-del,0,2.0
ritoban23,0,2.0
srinivastalari199e-ai,0,2.0
vasuag09,0,2.0
wally30,0,2.0
yeswehun,0,2.0
AshiteshSingh,0,1.0
Erik-Dan-Tran,0,1.0
GhaithqD,0,1.0
GlobalStar117,0,1.0
LeeJMorel,0,1.0
MajorDaxx,0,1.0
adamalton,0,1.0
aimtsou,0,1.0
gquinche,0,1.0
henrik-b,0,1.0
jrqysxkmrh-afk,0,1.0
sachindevsharma,0,1.0
treuille,0,1.0
zachikeh123,0,1.0
lukasmasuch,1,4567.0
sfc-gh-bnisco,1,2719.0
sfc-gh-lwilby,1,2458.0
sfc-gh-nbellante,1,1253.0
mayagbarnes,1,1094.0
sfc-gh-lmasuch,1,298.0
github-code-quality,1,200.0
sfc-gh-mbarnes,1,120.0
sfc-gh-aamadhavan,1,96.0
K-dash,1,51.0
MathCatsAnd,1,33.0
karubian,1,27.0
lukewang05,1,27.0
erenkcdg,1,26.0
ranmocy,1,22.0
KaranPradhan266,1,19.0
ashm-dev,1,18.0
sfc-gh-pchiu,1,18.0
whitphx,1,16.0
SiddhantSadangi,1,12.0
co63oc,1,12.0
Areen3112,1,10.0
joanaarnauth,1,10.0
sfc-gh-kjavadyan,1,10.0
matilde2004,1,9.0
kkchemboli,1,8.0
tortaepaisitphongse,1,7.0
alexmalins,1,5.0
itsToggle,1,5.0
lillian-zhao,1,5.0
sfc-gh-amiribel,1,5.0
xr843,1,5.0
geoextra,1,4.0
harshang03,1,4.0
lawilby,1,4.0
LakshmiSravyaVedantham,1,3.0
TiagoLouro14,1,3.0
w-userc,1,3.0
Ahmednoorani258,1,2.0
Dev-iL,1,2.0
Flamki,1,2.0
Luis-B97,1,2.0
Mr-Neutr0n,1,2.0
Rohan5commit,1,2.0
USDTLORD1,1,2.0
aayushbaluni,1,2.0
andreif-funnel,1,2.0
aritradhabal,1,2.0
ben05allen,1,2.0
fstermann,1,2.0
ghilesmeddour,1,2.0
ianjch314,1,2.0
ivanmilevtues,1,2.0
krupal-p,1,2.0
mohankumarelec,1,2.0
ndawe,1,2.0
okapiadmin,1,2.0
rafmudaf,1,2.0
rkthaild,1,2.0
sfc-gh-braethlein,1,2.0
sfc-gh-hkantuni,1,2.0
taimoorzulfiqar,1,2.0
tomtung,1,2.0
utruong309,1,2.0
vardhan30016,1,2.0
0xtaufeeq,1,1.0
AB5111,1,1.0
EwoutH,1,1.0
MarcSkovMadsen,1,1.0
OrthelT,1,1.0
RonaldAJ,1,1.0
adhikjoshi,1,1.0
adityaidev,1,1.0
alvinttang,1,1.0
asehmi,1,1.0
bodacious-bill,1,1.0
chrispy-snps,1,1.0
gambletan,1,1.0
ibnesayeed,1,1.0
jota12x,1,1.0
mdrazak2001,1,1.0
mohamedirsath07,1,1.0
moniqu3443,1,1.0
nicornk,1,1.0
pmareke,1,1.0
sfc-gh-jroes,1,1.0
thimiratk,1,1.0
tnir,1,1.0
vishall4,1,1.0
yuri-schmaltz,1,1.0
kmcgrady,2,526.0
velochy,2,145.0
vdonato,2,118.0
kajarenc,2,78.0
sfc-gh-kmcgrady,2,65.0
sfc-gh-gwatters,2,22.0
moutayam,2,14.0
snakeM,2,12.0
tiagorb1,2,12.0
BigBird404,2,9.0
sfc-gh-vdonato,2,8.0
AlvarezEtc,2,6.0
capgeminichristianerling,2,6.0
Bernardo1008,2,5.0
MuhdRayan10,2,5.0
jokester,2,5.0
tobka777,2,4.0
carlota-domingos,2,3.0
ppo-corp,2,3.0
odaysec,2,2.0
pallagj,2,2.0
sfc-gh-wschmitt,2,2.0
Khaledgadalla,2,1.0
LarsK1,2,1.0
MuriloM676,2,1.0
janbernloehr,2,1.0
jkoessle,2,1.0
mirko-felice,2,1.0
wellhowtosay,2,1.0
zahhar,2,1.0
github-advanced-security,3,262.0
raethlein,3,100.0
cgivre,3,26.0
majiayu000,3,23.0
tysoncung,3,10.0
sea-turt1e,3,8.0
An1k4et,3,6.0
Prhmma,3,5.0
Berschi,3,1.0
