node,community_id,strength
alexr00,0,793.0
Tyriar,0,133.0
lszomoru,0,105.0
bpasero,0,60.0
dmitrivMS,0,36.0
chrmarti,0,34.0
aeschli,0,32.0
aiday-mar,0,31.0
dbaeumer,0,28.0
sandy081,0,28.0
benibenj,0,23.0
mrleemurray,0,22.0
hediet,0,19.0
joaomoreno,0,19.0
jrieken,0,19.0
lramos15,0,19.0
kycutler,0,17.0
ulugbekna,0,17.0
Daniel-Aaron-Bloom,0,13.0
anthonykim1,0,7.0
dyhagho,0,6.0
gvilums,0,6.0
alexdima,0,5.0
deepak1556,0,3.0
AobaIwaki123,0,2.0
frontier159,0,2.0
github-advanced-security,0,2.0
glektarssza,0,2.0
ljhlh49-dot,0,2.0
ntrogh,0,2.0
pWoLiAn,0,2.0
smith,0,2.0
ArtemFilin1990,0,1.0
DanTup,0,1.0
Wetmelon,0,1.0
catskul,0,1.0
clicktodev,0,1.0
dineshc-msft,0,1.0
happyhelper188,0,1.0
homeoffice2028rjx-gif,0,1.0
jmaa4,0,1.0
jruales,0,1.0
justingrant,0,1.0
kieferrm,0,1.0
saviourjesus510-ops,0,1.0
sbatten,0,1.0
joshspicer,1,185.0
rebornix,1,102.0
osortega,1,86.0
mjbvz,1,53.0
rzhao271,1,51.0
DonJayamanne,1,44.0
TylerLeonhardt,1,20.0
roblourens,1,16.0
justschen,1,12.0
pwang347,1,11.0
timrogers,1,10.0
connor4312,1,7.0
Yoyokrazy,1,6.0
karthiknadig,1,6.0
vijayupadya,1,6.0
bhavyaus,1,5.0
eleanorjboyd,1,5.0
YounisDany,1,4.0
amunger,1,3.0
joe10832,1,2.0
vs-code-engineering,1,2.0
bamurtaugh,1,1.0
pubpepubpe-del,1,1.0
rangheng333-lgtm,1,1.0
kabel,2,19.0
azure-pipelines,2,16.0
vicky1999,2,14.0
bendrucker,2,5.0
ipcjs,2,5.0
krassowski,2,5.0
gerardbalaoro,2,4.0
wankun-tcj,2,4.0
JanKoszewski,3,1.0
alexr000,3,1.0
hunterhogan,4,7.0
jorenham,4,3.0
laharigandrapu11,5,2.0
mogelbrod,5,1.0
mohamedamara1,6,3.0
knight174,6,1.0
Mamonaminyar,7,2.0
omreemr42,7,1.0
