community_id,size,total_strength,share
0,227,1925.0,0.4576612903225806
1,88,1094.0,0.1774193548387097
2,50,494.0,0.10080645161290322
3,32,209.0,0.06451612903225806
4,12,110.0,0.024193548387096774
5,11,65.0,0.02217741935483871
7,9,105.0,0.018145161290322582
6,9,51.0,0.018145161290322582
8,6,90.0,0.012096774193548387
11,4,22.0,0.008064516129032258
10,4,16.0,0.008064516129032258
9,4,13.0,0.008064516129032258
13,3,21.0,0.006048387096774193
16,3,19.0,0.006048387096774193
12,3,14.0,0.006048387096774193
14,3,11.0,0.006048387096774193
15,3,7.0,0.006048387096774193
17,3,6.0,0.006048387096774193
27,2,21.0,0.004032258064516129
22,2,20.0,0.004032258064516129
20,2,8.0,0.004032258064516129
28,2,8.0,0.004032258064516129
18,2,7.0,0.004032258064516129
24,2,7.0,0.004032258064516129
21,2,6.0,0.004032258064516129
23,2,5.0,0.004032258064516129
25,2,5.0,0.004032258064516129
26,2,3.0,0.004032258064516129
19,2,2.0,0.004032258064516129
