node,strength,degree,betweenness,strength_rank,betweenness_rank,is_core_strength,is_bridge_betweenness,is_bridge_and_core
YuriiMotov,766.0,306,87379.90594941723,1,1,True,True,True
tiangolo,426.0,160,48581.98002981186,2,2,True,True,True
svlandeg,141.0,60,15027.710997881763,3,3,True,True,True
nilslindemann,52.0,3,0.0,4,133,True,False,False
alejsdev,50.0,31,9842.644360947974,5,4,True,True,True
valentinDruzhinin,29.0,10,1909.0421650952744,6,11,True,True,True
dolfinus,26.0,9,620.402507219899,7,79,True,False,False
musicinmybrain,23.0,11,2506.1111969111985,8,7,True,True,True
potiuk,20.0,2,0.0,9,133,True,False,False
sodaMelon,19.0,3,0.0,10,133,True,False,False
sungchan1,18.0,3,488.00000000000017,11,83,True,False,False
cjwatson,18.0,4,0.0,11,133,True,False,False
ceb10n,16.0,7,1209.5138888888887,13,23,True,True,True
johnslavik,16.0,3,371.20909090909083,13,107,True,False,False
roli2py,16.0,4,113.02106885495057,13,118,True,False,False
EdmilsonRodrigues,15.0,5,1380.4755096419497,16,20,True,True,True
Ben-Brady,15.0,3,0.0,16,133,True,False,False
FlaviusRaducu,15.0,4,0.0,16,133,True,False,False
EgorOnishchuk,14.0,9,3439.292370488362,19,6,True,True,True
NavesSapnis,13.0,3,487.99999999999994,20,93,True,False,False
Pyth3rEx,13.0,4,463.42369604420117,20,105,True,False,False
SaisakthiM,13.0,5,10.31617209172064,20,126,True,False,False
maru0123-2004,13.0,3,0.5,20,132,True,False,False
Viicos,12.0,6,379.7863944568981,24,106,True,False,False
Dawaman43,11.0,4,974.9999999999995,25,39,True,True,True
hard-coders,10.0,3,299.6460317460316,26,109,True,False,False
ChaitanyaSai-Meka,10.0,1,0.0,26,133,True,False,False
eltoder,10.0,3,0.0,26,133,True,False,False
jonathan-fulton,10.0,2,0.0,26,133,True,False,False
patrick91,9.0,5,964.0000000000005,30,43,True,True,True
AhsanSheraz,9.0,5,636.9850830553576,30,78,True,False,False
kinuax,9.0,4,488.00000000000017,30,83,True,False,False
dynamicy,9.0,4,488.0,30,88,True,False,False
rxxbyy,9.0,1,0.0,30,133,True,False,False
njsbhu,8.0,6,2324.8767427017406,35,9,True,True,True
maxachis,8.0,5,1189.9224941724938,35,24,True,True,True
alv2017,8.0,5,1021.7570444570451,35,29,True,True,True
casperdcl,8.0,4,990.9722222222221,35,32,True,True,True
stickm4n,8.0,4,975.0,35,34,True,True,True
Kludex,8.0,4,974.0,35,40,True,True,True
WrldEngine,8.0,4,488.0000000000001,35,85,True,False,False
Malak993-lho,8.0,3,1.8196969696969696,35,129,True,False,False
JavierSanchezCastro,8.0,4,1.0,35,130,True,False,False
DianaTrufanova,8.0,2,0.0,35,133,True,False,False
doganarif,8.0,2,0.0,35,133,True,False,False
hemanth-thirthahalli,8.0,4,0.0,35,133,True,False,False
mkanetsuna,8.0,2,0.0,35,133,True,False,False
leerob,7.0,4,1460.9999999999993,48,15,True,True,True
bokshitsky,7.0,4,1163.1093374776367,48,25,True,True,True
sajjadrahman56,7.0,3,975.0,48,34,True,True,True
mlb-,7.0,3,488.00000000000006,48,87,True,False,False
ptt3199,7.0,2,487.99999999999994,48,93,True,False,False
Rohan5commit,7.0,2,0.0,48,133,True,False,False
SBillion,7.0,2,0.0,48,133,True,False,False
subhashdasyam,7.0,2,0.0,48,133,True,False,False
Taoup,6.0,5,4827.884870075301,56,5,False,True,False
jomkv,6.0,4,1385.2925010716592,56,19,False,True,False
cstruct,6.0,4,1100.7666666666667,56,28,False,True,False
JP-Ellis,6.0,3,487.99999999999983,56,102,False,False,False
ruzia,6.0,3,258.29047619047617,56,110,False,False,False
SadManFahIm,6.0,3,79.1454949818838,56,119,False,False,False
sneakers-the-rat,6.0,3,1.0,56,130,False,False,False
Ali-Parandeh,6.0,3,0.0,56,133,False,False,False
azamzar,6.0,2,0.0,56,133,False,False,False
dennybiasiolli,6.0,2,0.0,56,133,False,False,False
diegoromerodev,6.0,2,0.0,56,133,False,False,False
dikos1337,6.0,2,0.0,56,133,False,False,False
ilovemesomeramen,6.0,2,0.0,56,133,False,False,False
seuthootDev,6.0,2,0.0,56,133,False,False,False
Lob26,5.0,4,1495.1166798120885,70,14,False,True,False
isgin01,5.0,4,988.3333333333331,70,33,False,True,False
mohiuddin-khan-shiam,5.0,4,975.0,70,34,False,True,False
emmanuel-ferdman,5.0,3,642.5972627836167,70,55,False,False,False
Areeb455,5.0,3,488.0,70,88,False,False,False
zmievsa,5.0,3,487.99999999999994,70,93,False,False,False
ibrahimpelumi6142,5.0,3,480.81050090514185,70,104,False,False,False
Joab0,5.0,3,6.189499094853617,70,127,False,False,False
Ashish-Pandey62,5.0,2,0.0,70,133,False,False,False
Vincy1230,5.0,1,0.0,70,133,False,False,False
amitmoralwar,5.0,2,0.0,70,133,False,False,False
anupamme,5.0,1,0.0,70,133,False,False,False
argoarsiks,5.0,1,0.0,70,133,False,False,False
edgarrmondragon,5.0,2,0.0,70,133,False,False,False
essentiaMarco,5.0,1,0.0,70,133,False,False,False
even-even,5.0,3,0.0,70,133,False,False,False
mezgoodle,5.0,2,0.0,70,133,False,False,False
nazarepiedady,5.0,2,0.0,70,133,False,False,False
ngoldbaum,5.0,2,0.0,70,133,False,False,False
