node,strength,degree,betweenness,strength_rank,betweenness_rank,is_core_strength,is_bridge_betweenness,is_bridge_and_core
AlexWaygood,4041.0,107,15925.946035040419,1,3,True,True,True
MichaReiser,3965.0,247,59238.99940735828,2,1,True,True,True
ntBre,2669.0,227,47646.53482303462,3,2,True,True,True
carljm,2260.0,85,14786.245361132535,4,4,True,True,True
sharkdp,1726.0,58,6785.468559144025,5,8,True,True,True
charliermarsh,1009.0,44,8262.774963748381,6,6,True,True,True
dhruvmanila,884.0,60,7150.604511377001,7,7,True,True,True
dcreager,829.0,29,4179.281327146014,8,12,True,True,True
BurntSushi,649.0,34,2733.0046822237987,9,17,True,True,True
dylwil3,515.0,47,5949.030251203031,10,10,True,True,True
amyreese,513.0,59,9945.935285828138,11,5,True,True,True
ibraheemdev,496.0,20,1455.4284132909072,12,37,True,True,True
Gankra,443.0,22,1985.220847779673,13,24,True,True,True
danparizher,403.0,20,3867.2327468062686,14,14,True,True,True
MatthewMckee4,374.0,14,910.3838052851189,15,74,True,False,False
mtshiba,331.0,11,123.09967617893302,16,149,True,False,False
oconnor663,301.0,16,1117.0250808015505,17,48,True,True,True
chirizxc,239.0,20,2130.411458506233,18,21,True,True,True
LaBatata101,195.0,17,1281.321695762099,19,43,True,True,True
zanieb,180.0,18,1359.2848767847213,20,40,True,True,True
Lee-W,173.0,15,2024.5147145295352,21,22,True,True,True
11happy,165.0,10,176.4312324929973,22,144,True,False,False
MeGaGiGaGon,130.0,12,1594.7675599248712,23,31,True,True,True
abhijeetbodas2001,106.0,8,0.0,24,169,True,False,False
InSyncWithFoo,99.0,16,4087.321960056322,25,13,True,True,True
TaKO8Ki,94.0,9,1370.8891698171112,26,39,True,True,True
thejchap,94.0,8,19.275,26,161,True,False,False
maxmynter,91.0,8,496.9999999999999,28,114,True,False,False
ericmarkmartin,90.0,8,1597.0364495540578,29,30,True,True,True
Glyphack,88.0,8,522.5299672549671,30,90,True,False,False
denyszhak,75.0,12,1500.9525252525245,31,34,True,True,True
UnboundVariable,68.0,8,411.8381164587047,32,127,True,False,False
sjyangkevin,67.0,5,496.99999999999994,33,102,True,False,False
Hugo-Polloli,67.0,11,289.12313797313806,33,135,True,False,False
dscorbett,62.0,24,6378.695141661748,35,9,True,True,True
leandrobbraga,61.0,12,4237.735762183154,36,11,True,True,True
robsdedude,61.0,7,919.876651221156,36,73,True,False,False
VascoSch92,59.0,6,497.0,38,92,True,False,False
IDrokin117,58.0,7,444.85804659922303,39,123,True,False,False
WillDuke,58.0,5,55.556746031746044,39,155,True,False,False
CodeMan62,55.0,6,496.99999999999994,41,102,True,False,False
JelleZijlstra,54.0,10,361.75102675102664,42,130,True,False,False
