node,strength,degree,betweenness,strength_rank,betweenness_rank,is_core_strength,is_bridge_betweenness,is_bridge_and_core
lukasmasuch,2037.0,106,11365.477011146746,1,1,True,True,True
sfc-gh-bnisco,1319.0,58,4737.526443001447,2,3,True,True,True
sfc-gh-lwilby,1164.0,58,3896.8186147186125,3,4,True,True,True
sfc-gh-nbellante,517.0,28,2542.7113247863244,4,6,True,True,True
mayagbarnes,492.0,30,2575.06592617908,5,5,True,True,True
jrieke,346.0,84,5042.486404823244,6,2,True,True,True
kmcgrady,233.0,28,1706.4593462093478,7,10,True,True,True
sfc-gh-lmasuch,150.0,19,909.7878066378057,8,13,True,True,True
sfc-gh-dmatthews,135.0,17,2059.4202153110045,9,7,True,True,True
velochy,77.0,17,1999.5708199695048,10,9,True,True,True
sfc-gh-smohile,68.0,8,154.1489898989898,11,51,True,False,False
sfc-gh-tteixeira,60.0,13,503.8968253968252,12,27,True,False,False
sfc-gh-mbarnes,60.0,7,230.91507936507935,12,40,True,False,False
vdonato,52.0,7,214.04761904761907,14,43,True,False,False
sfc-gh-jkinkead,48.0,6,0.0,15,59,True,False,False
kajarenc,41.0,11,393.69953102453087,16,31,True,False,False
raethlein,37.0,5,215.34090909090892,17,42,True,False,False
sfc-gh-aamadhavan,36.0,6,22.35,18,57,True,False,False
sfc-gh-jrieke,34.0,15,2050.8741796215486,19,8,True,True,True
K-dash,28.0,4,513.7945298853194,20,26,True,False,False
sfc-gh-kmcgrady,26.0,7,0.0,21,59,True,False,False
jose-mindwayai,25.0,3,211.0,22,47,True,False,False
jensonjohnathon,23.0,5,0.0,23,59,False,False,False
kagawa0710,22.0,3,0.0,24,59,False,False,False
duartecaldascardoso,20.0,3,0.0,25,59,False,False,False
wyattscarpenter,19.0,5,211.0,26,47,False,False,False
bajajku,18.0,3,0.0,27,59,False,False,False
t0k0shi,17.0,6,1486.5182180392712,28,11,False,True,False
xtliu97,17.0,3,0.0,28,59,False,False,False
MathCatsAnd,16.0,3,453.44531024531017,30,28,False,False,False
karubian,16.0,3,0.0,30,59,False,False,False
majiayu000,16.0,3,0.0,30,59,False,False,False
andreasntr,15.0,2,0.0,33,59,False,False,False
lukewang05,15.0,2,0.0,33,59,False,False,False
erenkcdg,14.0,1,0.0,35,59,False,False,False
rishi-kumar0612,13.0,6,223.57499693289165,36,41,False,False,False
KaranPradhan266,13.0,3,0.0,36,59,False,False,False
plumol,12.0,4,374.2413059163058,38,34,False,False,False
ranmocy,11.0,1,0.0,39,59,False,False,False
zyfy29,11.0,4,0.0,39,59,False,False,False
sfc-gh-gwatters,10.0,4,101.56666666666668,41,53,False,False,False
ashm-dev,10.0,4,0.0,41,59,False,False,False
nehaaprasad,10.0,2,0.0,41,59,False,False,False
snakeM,10.0,2,0.0,41,59,False,False,False
fridaeriksenaess,9.0,6,628.2218253968256,45,19,False,True,False
whitphx,9.0,3,607.1444444444446,45,21,False,True,False
sfc-gh-pchiu,9.0,3,18.992063492063497,45,58,False,False,False
axelcarapinha,9.0,4,0.0,45,59,False,False,False
cgivre,9.0,1,0.0,45,59,False,False,False
nico-bellante,9.0,3,0.0,45,59,False,False,False
aebrahim,8.0,5,630.0,51,18,False,True,False
rishabhjain1712,8.0,4,625.9166666666664,51,20,False,True,False
bew,8.0,5,584.850518341308,51,22,False,True,False
rwelgosh,8.0,4,537.7436868686871,51,25,False,False,False
davidsjoberg1,8.0,3,0.0,51,59,False,False,False
BigBird404,7.0,5,753.2536013693907,56,14,False,True,False
katerinatsikoura,7.0,4,649.5020202020202,56,16,False,True,False
SiddhantSadangi,7.0,4,211.2720418470419,56,46,False,False,False
moutayam,7.0,3,89.83333333333334,56,54,False,False,False
ghassenTn,7.0,2,0.0,56,59,False,False,False
tortaepaisitphongse,7.0,3,0.0,56,59,False,False,False
Areen3112,6.0,1,0.0,62,59,False,False,False
TreavVasu,6.0,2,0.0,62,59,False,False,False
co63oc,6.0,2,0.0,62,59,False,False,False
devbyteai,6.0,2,0.0,62,59,False,False,False
huskhi,6.0,2,0.0,62,59,False,False,False
jerome-auguste,6.0,3,0.0,62,59,False,False,False
joanaarnauth,6.0,1,0.0,62,59,False,False,False
rahuld109,6.0,3,0.0,62,59,False,False,False
Clefairybiubiubiu,5.0,2,0.0,70,59,False,False,False
Darkace01,5.0,2,0.0,70,59,False,False,False
dweepvira,5.0,2,0.0,70,59,False,False,False
hpcslag,5.0,3,0.0,70,59,False,False,False
itsToggle,5.0,2,0.0,70,59,False,False,False
sfc-gh-kjavadyan,5.0,1,0.0,70,59,False,False,False
tiagorb1,5.0,2,0.0,70,59,False,False,False
tysoncung,5.0,2,0.0,70,59,False,False,False
vullankib,5.0,3,0.0,70,59,False,False,False
Nayil97,4.0,3,578.1579725829725,79,24,False,False,False
sea-turt1e,4.0,3,332.25360136939076,79,35,False,False,False
sfc-gh-amiribel,4.0,3,213.8986291486292,79,44,False,False,False
AdamEssemaali,4.0,2,0.0,79,59,False,False,False
AlvarezEtc,4.0,1,0.0,79,59,False,False,False
capgeminichristianerling,4.0,1,0.0,79,59,False,False,False
kkchemboli,4.0,2,0.0,79,59,False,False,False
lillian-zhao,4.0,2,0.0,79,59,False,False,False
matilde2004,4.0,2,0.0,79,59,False,False,False
sfc-gh-vdonato,4.0,1,0.0,79,59,False,False,False
xr843,4.0,1,0.0,79,59,False,False,False
henrydai16,3.0,3,928.0211338369235,90,12,False,True,False
marcolanfranchi,3.0,2,163.241305916306,90,50,False,False,False
VedantMadane,3.0,2,122.12619047619042,90,52,False,False,False
aryanagg,3.0,2,84.35128205128206,90,55,False,False,False
harshang03,3.0,2,26.966666666666676,90,56,False,False,False
Bernardo1008,3.0,1,0.0,90,59,False,False,False
Franco-15,3.0,1,0.0,90,59,False,False,False
JingYiJun,3.0,2,0.0,90,59,False,False,False
Prhmma,3.0,2,0.0,90,59,False,False,False
TiagoLouro14,3.0,1,0.0,90,59,False,False,False
alexmalins,3.0,1,0.0,90,59,False,False,False
danielalanbates,3.0,2,0.0,90,59,False,False,False
diwu-sf,3.0,1,0.0,90,59,False,False,False
duvvuvenkataramana,3.0,1,0.0,90,59,False,False,False
goncalossmartins,3.0,1,0.0,90,59,False,False,False
jokester,3.0,1,0.0,90,59,False,False,False
nileshhadalgi016,3.0,2,0.0,90,59,False,False,False
nitinjadhav888,3.0,1,0.0,90,59,False,False,False
ppo-corp,3.0,1,0.0,90,59,False,False,False
prashcod,3.0,2,0.0,90,59,False,False,False
rpgjarman,3.0,2,0.0,90,59,False,False,False
shamis15,3.0,1,0.0,90,59,False,False,False
sridhar-mani,3.0,2,0.0,90,59,False,False,False
syed-saif,3.0,2,0.0,90,59,False,False,False
tobka777,3.0,1,0.0,90,59,False,False,False
veeceey,2.0,2,690.5349882573568,115,15,False,True,False
sfc-gh-wschmitt,2.0,2,643.0018037518035,115,17,False,True,False
DHANUSHRAJA22,2.0,2,582.0245970403864,115,23,False,False,False
ritoban23,2.0,2,435.7607142857143,115,29,False,False,False
An1k4et,2.0,2,414.9166666666665,115,30,False,False,False
mohankumarelec,2.0,2,381.8689033189036,115,32,False,False,False
utruong309,2.0,2,381.8689033189036,115,32,False,False,False
nik-jones,2.0,2,332.25360136939076,115,35,False,False,False
MuhdRayan10,2.0,2,329.1119047619048,115,37,False,False,False
geoextra,2.0,2,299.35818903318886,115,38,False,False,False
aayushbaluni,2.0,2,258.8027777777778,115,39,False,False,False
avhz,2.0,2,213.8986291486292,115,44,False,False,False
lix8886,2.0,2,192.63611111111118,115,49,False,False,False
275RR,2.0,1,0.0,115,59,False,False,False
Aroool,2.0,1,0.0,115,59,False,False,False
Ayush-327,2.0,1,0.0,115,59,False,False,False
Dev-iL,2.0,1,0.0,115,59,False,False,False
LakshmiSravyaVedantham,2.0,1,0.0,115,59,False,False,False
Mr-Neutr0n,2.0,1,0.0,115,59,False,False,False
Navadeep0007,2.0,1,0.0,115,59,False,False,False
carlota-domingos,2.0,1,0.0,115,59,False,False,False
ghilesmeddour,2.0,1,0.0,115,59,False,False,False
ivanmilevtues,2.0,1,0.0,115,59,False,False,False
iyertrisha,2.0,1,0.0,115,59,False,False,False
lawilby,2.0,1,0.0,115,59,False,False,False
ndawe,2.0,1,0.0,115,59,False,False,False
odaysec,2.0,1,0.0,115,59,False,False,False
okapiadmin,2.0,1,0.0,115,59,False,False,False
pallagj,2.0,1,0.0,115,59,False,False,False
rafmudaf,2.0,1,0.0,115,59,False,False,False
taimoorzulfiqar,2.0,1,0.0,115,59,False,False,False
w-userc,2.0,1,0.0,115,59,False,False,False
0xtaufeeq,1.0,1,0.0,147,59,False,False,False
AB5111,1.0,1,0.0,147,59,False,False,False
Ahmednoorani258,1.0,1,0.0,147,59,False,False,False
AshiteshSingh,1.0,1,0.0,147,59,False,False,False
Berschi,1.0,1,0.0,147,59,False,False,False
Erik-Dan-Tran,1.0,1,0.0,147,59,False,False,False
EwoutH,1.0,1,0.0,147,59,False,False,False
Flamki,1.0,1,0.0,147,59,False,False,False
GhaithqD,1.0,1,0.0,147,59,False,False,False
GlobalStar117,1.0,1,0.0,147,59,False,False,False
Khaledgadalla,1.0,1,0.0,147,59,False,False,False
LarsK1,1.0,1,0.0,147,59,False,False,False
LeeJMorel,1.0,1,0.0,147,59,False,False,False
Luis-B97,1.0,1,0.0,147,59,False,False,False
MajorDaxx,1.0,1,0.0,147,59,False,False,False
ManasVardhan,1.0,1,0.0,147,59,False,False,False
MarcSkovMadsen,1.0,1,0.0,147,59,False,False,False
MuriloM676,1.0,1,0.0,147,59,False,False,False
OrthelT,1.0,1,0.0,147,59,False,False,False
Rohan5commit,1.0,1,0.0,147,59,False,False,False
RonaldAJ,1.0,1,0.0,147,59,False,False,False
USDTLORD1,1.0,1,0.0,147,59,False,False,False
Zane-dev16,1.0,1,0.0,147,59,False,False,False
adamalton,1.0,1,0.0,147,59,False,False,False
adhikjoshi,1.0,1,0.0,147,59,False,False,False
adityaidev,1.0,1,0.0,147,59,False,False,False
aimtsou,1.0,1,0.0,147,59,False,False,False
alvinttang,1.0,1,0.0,147,59,False,False,False
andreif-funnel,1.0,1,0.0,147,59,False,False,False
aritradhabal,1.0,1,0.0,147,59,False,False,False
asehmi,1.0,1,0.0,147,59,False,False,False
ben05allen,1.0,1,0.0,147,59,False,False,False
blackary,1.0,1,0.0,147,59,False,False,False
bodacious-bill,1.0,1,0.0,147,59,False,False,False
chrispy-snps,1.0,1,0.0,147,59,False,False,False
fstermann,1.0,1,0.0,147,59,False,False,False
gambletan,1.0,1,0.0,147,59,False,False,False
gquinche,1.0,1,0.0,147,59,False,False,False
henrik-b,1.0,1,0.0,147,59,False,False,False
ianjch314,1.0,1,0.0,147,59,False,False,False
ibnesayeed,1.0,1,0.0,147,59,False,False,False
janbernloehr,1.0,1,0.0,147,59,False,False,False
jkoessle,1.0,1,0.0,147,59,False,False,False
jota12x,1.0,1,0.0,147,59,False,False,False
jrqysxkmrh-afk,1.0,1,0.0,147,59,False,False,False
krupal-p,1.0,1,0.0,147,59,False,False,False
mdrazak2001,1.0,1,0.0,147,59,False,False,False
mirko-felice,1.0,1,0.0,147,59,False,False,False
mohamedirsath07,1.0,1,0.0,147,59,False,False,False
moniqu3443,1.0,1,0.0,147,59,False,False,False
nicornk,1.0,1,0.0,147,59,False,False,False
pmareke,1.0,1,0.0,147,59,False,False,False
rkthaild,1.0,1,0.0,147,59,False,False,False
sachindevsharma,1.0,1,0.0,147,59,False,False,False
sfc-gh-braethlein,1.0,1,0.0,147,59,False,False,False
sfc-gh-hkantuni,1.0,1,0.0,147,59,False,False,False
sfc-gh-jroes,1.0,1,0.0,147,59,False,False,False
thimiratk,1.0,1,0.0,147,59,False,False,False
tnir,1.0,1,0.0,147,59,False,False,False
tomtung,1.0,1,0.0,147,59,False,False,False
treuille,1.0,1,0.0,147,59,False,False,False
vardhan30016,1.0,1,0.0,147,59,False,False,False
vishall4,1.0,1,0.0,147,59,False,False,False
wellhowtosay,1.0,1,0.0,147,59,False,False,False
yuri-schmaltz,1.0,1,0.0,147,59,False,False,False
zachikeh123,1.0,1,0.0,147,59,False,False,False
zahhar,1.0,1,0.0,147,59,False,False,False
