node,strength,degree,betweenness,strength_rank,betweenness_rank,is_core_strength,is_bridge_betweenness,is_bridge_and_core
alexr00,792.0,71,2482.8500000000004,1,1,True,True,True
joshspicer,185.0,26,475.90476190476187,2,2,True,True,True
Tyriar,133.0,10,119.88809523809536,3,18,True,False,False
lszomoru,105.0,7,164.0309523809524,4,13,True,False,False
rebornix,102.0,15,121.67142857142856,5,16,True,False,False
osortega,86.0,16,216.31904761904764,6,9,True,True,True
bpasero,60.0,6,284.9428571428573,7,7,True,True,True
mjbvz,53.0,14,379.52142857142866,8,4,True,True,True
rzhao271,51.0,8,88.90952380952383,9,21,True,False,False
DonJayamanne,44.0,8,34.81666666666667,10,30,False,False,False
dmitrivMS,36.0,4,0.0,11,40,False,False,False
chrmarti,34.0,3,25.60238095238094,12,35,False,False,False
aeschli,32.0,4,29.780952380952385,13,33,False,False,False
aiday-mar,31.0,1,0.0,14,40,False,False,False
dbaeumer,28.0,4,68.26904761904764,15,27,False,False,False
sandy081,28.0,4,27.25238095238095,15,34,False,False,False
benibenj,23.0,2,0.0,17,40,False,False,False
mrleemurray,22.0,10,442.05476190476185,18,3,False,True,False
TylerLeonhardt,20.0,5,200.50000000000003,19,12,False,False,False
hediet,19.0,4,208.26428571428565,20,10,False,False,False
lramos15,19.0,4,136.64047619047622,20,15,False,False,False
joaomoreno,19.0,1,0.0,20,40,False,False,False
jrieken,19.0,1,0.0,20,40,False,False,False
ulugbekna,17.0,2,0.0,24,40,False,False,False
kycutler,16.0,5,120.5333333333333,25,17,False,False,False
kabel,16.0,4,87.0,25,22,False,False,False
roblourens,16.0,4,0.0,25,40,False,False,False
justschen,12.0,6,33.06666666666667,28,31,False,False,False
vicky1999,11.0,4,89.93333333333338,29,20,False,False,False
Daniel-Aaron-Bloom,11.0,3,71.73571428571435,29,26,False,False,False
pwang347,11.0,3,0.0,29,40,False,False,False
timrogers,9.0,4,22.726190476190474,32,36,False,False,False
hunterhogan,7.0,3,148.76190476190476,33,14,False,False,False
connor4312,7.0,4,44.23333333333334,33,29,False,False,False
anthonykim1,7.0,2,0.0,33,40,False,False,False
vijayupadya,6.0,4,116.9833333333333,36,19,False,False,False
Yoyokrazy,6.0,3,7.916666666666667,36,38,False,False,False
karthiknadig,6.0,2,0.0,36,40,False,False,False
eleanorjboyd,5.0,3,287.14999999999986,39,6,False,True,False
bhavyaus,5.0,3,207.84999999999997,39,11,False,False,False
alexdima,5.0,1,0.0,39,40,False,False,False
dyhagho,5.0,2,0.0,39,40,False,False,False
gvilums,5.0,2,0.0,39,40,False,False,False
krassowski,4.0,3,53.83571428571429,44,28,False,False,False
YounisDany,4.0,2,7.0,44,39,False,False,False
bendrucker,4.0,2,0.0,44,40,False,False,False
ipcjs,4.0,2,0.0,44,40,False,False,False
mohamedamara1,3.0,2,82.0,48,23,False,False,False
wankun-tcj,3.0,2,32.369047619047635,48,32,False,False,False
gerardbalaoro,3.0,2,18.80952380952381,48,37,False,False,False
amunger,3.0,2,0.0,48,40,False,False,False
deepak1556,3.0,1,0.0,48,40,False,False,False
jorenham,3.0,1,0.0,48,40,False,False,False
joe10832,2.0,2,333.6714285714285,54,5,False,True,False
ntrogh,2.0,2,274.5761904761906,54,8,False,True,False
Mamonaminyar,2.0,2,82.0,54,23,False,False,False
laharigandrapu11,2.0,2,82.0,54,23,False,False,False
AobaIwaki123,2.0,1,0.0,54,40,False,False,False
frontier159,2.0,1,0.0,54,40,False,False,False
glektarssza,2.0,1,0.0,54,40,False,False,False
ljhlh49-dot,2.0,1,0.0,54,40,False,False,False
pWoLiAn,2.0,1,0.0,54,40,False,False,False
smith,2.0,1,0.0,54,40,False,False,False
vs-code-engineering,2.0,1,0.0,54,40,False,False,False
ArtemFilin1990,1.0,1,0.0,65,40,False,False,False
DanTup,1.0,1,0.0,65,40,False,False,False
JanKoszewski,1.0,1,0.0,65,40,False,False,False
Wetmelon,1.0,1,0.0,65,40,False,False,False
alexr000,1.0,1,0.0,65,40,False,False,False
bamurtaugh,1.0,1,0.0,65,40,False,False,False
catskul,1.0,1,0.0,65,40,False,False,False
clicktodev,1.0,1,0.0,65,40,False,False,False
dineshc-msft,1.0,1,0.0,65,40,False,False,False
happyhelper188,1.0,1,0.0,65,40,False,False,False
homeoffice2028rjx-gif,1.0,1,0.0,65,40,False,False,False
jmaa4,1.0,1,0.0,65,40,False,False,False
jruales,1.0,1,0.0,65,40,False,False,False
justingrant,1.0,1,0.0,65,40,False,False,False
kieferrm,1.0,1,0.0,65,40,False,False,False
knight174,1.0,1,0.0,65,40,False,False,False
mogelbrod,1.0,1,0.0,65,40,False,False,False
omreemr42,1.0,1,0.0,65,40,False,False,False
pubpepubpe-del,1.0,1,0.0,65,40,False,False,False
rangheng333-lgtm,1.0,1,0.0,65,40,False,False,False
saviourjesus510-ops,1.0,1,0.0,65,40,False,False,False
sbatten,1.0,1,0.0,65,40,False,False,False
