repo,quarter,role_metric,rank,node,value
vscode-pr-github,Q1,strength,1,alexr00,201.000000
vscode-pr-github,Q1,strength,2,lszomoru,39.000000
vscode-pr-github,Q1,strength,3,joshspicer,31.000000
vscode-pr-github,Q1,strength,4,osortega,17.000000
vscode-pr-github,Q1,strength,5,bpasero,16.000000
vscode-pr-github,Q1,betweenness,1,alexr00,0.707308
vscode-pr-github,Q1,betweenness,2,joshspicer,0.195923
vscode-pr-github,Q1,betweenness,3,roblourens,0.158320
vscode-pr-github,Q1,betweenness,4,mjbvz,0.150883
vscode-pr-github,Q1,betweenness,5,justschen,0.130321
vscode-pr-github,Q2,strength,1,alexr00,284.000000
vscode-pr-github,Q2,strength,2,joshspicer,90.000000
vscode-pr-github,Q2,strength,3,rebornix,75.000000
vscode-pr-github,Q2,strength,4,Tyriar,66.000000
vscode-pr-github,Q2,strength,5,osortega,62.000000
vscode-pr-github,Q2,betweenness,1,alexr00,0.508685
vscode-pr-github,Q2,betweenness,2,connor4312,0.238864
vscode-pr-github,Q2,betweenness,3,joshspicer,0.206184
vscode-pr-github,Q2,betweenness,4,mrleemurray,0.126181
vscode-pr-github,Q2,betweenness,5,mjbvz,0.124548
vscode-pr-github,Q3,strength,1,alexr00,184.000000
vscode-pr-github,Q3,strength,2,joshspicer,63.000000
vscode-pr-github,Q3,strength,3,Tyriar,46.000000
vscode-pr-github,Q3,strength,4,bpasero,19.000000
vscode-pr-github,Q3,strength,5,lszomoru,19.000000
vscode-pr-github,Q3,betweenness,1,alexr00,0.583333
vscode-pr-github,Q3,betweenness,2,joshspicer,0.157699
vscode-pr-github,Q3,betweenness,3,rebornix,0.092243
vscode-pr-github,Q3,betweenness,4,Tyriar,0.076928
vscode-pr-github,Q3,betweenness,5,osortega,0.067319
vscode-pr-github,Q4,strength,1,alexr00,123.000000
vscode-pr-github,Q4,strength,2,dmitrivMS,23.000000
vscode-pr-github,Q4,strength,3,Tyriar,13.000000
vscode-pr-github,Q4,strength,4,Daniel-Aaron-Bloom,11.000000
vscode-pr-github,Q4,strength,5,lszomoru,11.000000
vscode-pr-github,Q4,betweenness,1,alexr00,0.587805
vscode-pr-github,Q4,betweenness,2,lramos15,0.136585
vscode-pr-github,Q4,betweenness,3,mrleemurray,0.109756
vscode-pr-github,Q4,betweenness,4,gvilums,0.037805
vscode-pr-github,Q4,betweenness,5,chrmarti,0.036585
ruff,Q1,strength,1,MichaReiser,1220.000000
ruff,Q1,strength,2,AlexWaygood,1089.000000
ruff,Q1,strength,3,ntBre,807.000000
ruff,Q1,strength,4,carljm,782.000000
ruff,Q1,strength,5,sharkdp,588.000000
ruff,Q1,betweenness,1,MichaReiser,0.610526
ruff,Q1,betweenness,2,ntBre,0.231226
ruff,Q1,betweenness,3,AlexWaygood,0.153574
ruff,Q1,betweenness,4,dhruvmanila,0.115132
ruff,Q1,betweenness,5,brandtbucher,0.099735
ruff,Q2,strength,1,MichaReiser,946.000000
ruff,Q2,strength,2,ntBre,778.000000
ruff,Q2,strength,3,AlexWaygood,736.000000
ruff,Q2,strength,4,carljm,524.000000
ruff,Q2,strength,5,sharkdp,441.000000
ruff,Q2,betweenness,1,ntBre,0.342993
ruff,Q2,betweenness,2,MichaReiser,0.327407
ruff,Q2,betweenness,3,sharkdp,0.165730
ruff,Q2,betweenness,4,AlexWaygood,0.140236
ruff,Q2,betweenness,5,amyreese,0.127941
ruff,Q3,strength,1,MichaReiser,1173.000000
ruff,Q3,strength,2,AlexWaygood,1160.000000
ruff,Q3,strength,3,carljm,477.000000
ruff,Q3,strength,4,ntBre,466.000000
ruff,Q3,strength,5,sharkdp,454.000000
ruff,Q3,betweenness,1,MichaReiser,0.480630
ruff,Q3,betweenness,2,ntBre,0.457343
ruff,Q3,betweenness,3,carljm,0.128375
ruff,Q3,betweenness,4,charliermarsh,0.116675
ruff,Q3,betweenness,5,amyreese,0.100599
ruff,Q4,strength,1,AlexWaygood,1056.000000
ruff,Q4,strength,2,charliermarsh,729.000000
ruff,Q4,strength,3,MichaReiser,626.000000
ruff,Q4,strength,4,ntBre,618.000000
ruff,Q4,strength,5,carljm,477.000000
