repo,quarter,start,end,prs,nodes,edges,strength_gini,communities,largest_community_share,top_k,bridge_core_overlap_count,bridge_core_overlap_share,bridge_core_jaccard,top_strength_node,top_strength,top_betweenness_node,top_betweenness
vscode-pr-github,Q1,2025-03-28,2025-06-28,195,41,71,0.670,6,0.537,5,2,0.400,0.250,alexr00,201.000,alexr00,0.707308
vscode-pr-github,Q2,2025-06-28,2025-09-28,472,53,107,0.748,9,0.453,6,3,0.500,0.333,alexr00,284.000,alexr00,0.508685
vscode-pr-github,Q3,2025-09-28,2025-12-28,293,55,80,0.758,10,0.491,6,3,0.500,0.333,alexr00,184.000,alexr00,0.583333
vscode-pr-github,Q4,2025-12-28,2026-03-29,166,42,39,0.772,11,0.690,5,1,0.200,0.111,alexr00,123.000,alexr00,0.587805
ruff,Q1,2025-03-28,2025-06-28,1371,153,406,0.867,6,0.667,16,9,0.562,0.391,MichaReiser,1220.000,MichaReiser,0.610526
ruff,Q2,2025-06-28,2025-09-28,1205,140,363,0.853,6,0.486,14,7,0.500,0.333,MichaReiser,946.000,ntBre,0.342993
ruff,Q3,2025-09-28,2025-12-28,1246,161,398,0.869,5,0.435,17,7,0.412,0.259,MichaReiser,1173.000,MichaReiser,0.480630
ruff,Q4,2025-12-28,2026-03-29,1707,230,520,0.867,15,0.361,23,14,0.609,0.438,AlexWaygood,1056.000,ntBre,0.495511
streamlit,Q1,2025-03-28,2025-06-28,576,78,172,0.818,11,0.410,8,5,0.625,0.455,lukasmasuch,420.000,sfc-gh-bnisco,0.322534
streamlit,Q2,2025-06-28,2025-09-28,581,66,135,0.827,6,0.424,7,5,0.714,0.556,lukasmasuch,418.000,lukasmasuch,0.415777
streamlit,Q3,2025-09-28,2025-12-28,641,97,205,0.853,14,0.330,10,6,0.600,0.429,lukasmasuch,568.000,jrieke,0.361237
streamlit,Q4,2025-12-28,2026-03-29,944,91,119,0.913,37,0.363,10,8,0.800,0.667,lukasmasuch,631.000,lukasmasuch,0.187000
fastapi,Q1,2025-03-28,2025-06-28,153,132,146,0.641,28,0.280,14,7,0.500,0.333,YuriiMotov,109.000,YuriiMotov,0.402428
fastapi,Q2,2025-06-28,2025-09-28,184,109,145,0.707,21,0.339,11,6,0.545,0.375,YuriiMotov,154.000,YuriiMotov,0.647045
fastapi,Q3,2025-09-28,2025-12-28,320,168,221,0.735,19,0.399,17,7,0.412,0.259,YuriiMotov,215.000,YuriiMotov,0.510183
fastapi,Q4,2025-12-28,2026-03-29,473,222,249,0.751,47,0.414,23,9,0.391,0.243,YuriiMotov,288.000,YuriiMotov,0.581975
